id_code,start_time,end_time,duration,airplane,surfboard,alert,annually,apple,ass,attempt,band,bean,carry,children,church,clam,clipper,construction,cook,cover,dagger,deodorant,dolphin,dress,dusk,east,egypt,expensive,explain,food,fox,gin,hello,hug,hurt,inhale,instrument,keep,marry,men,mustache,navy,near,number,once,rich,room,scare,scientist,short,shot,sly,smudge,stone,storm,tear,theory,thunder,trip,trophy,unfair,waiter,wet,world,worry
64006,10/26/10 0:19,10/26/10 0:39,20,"jets, interior seats, bagage, emergency exits, pilot, co pilot, passengers","cool, hard, fun, colorful",warning,yearly,"red, big small, juicy, ripe, sweet","rude,","try,","brass, woodwind, percussion",little,hold,"little, big","worship, serve","shell, clammy, slimey","sharp, painful",loud,food,"warm, comfy",dark,"smells good, rolls on, smooth","cute, mammal, fins, eyes, bottle nosed","flowing, cute","night, dark",direction,"sand, hot",rich,"question, how to","fruit, veggies, bread, meat","cute, furry, hairy",happy,"hi, hey","big, arms",ouch,deep breath,"violin, flute, trumpet, sax, piano, chello, bass, viola","cherish,",someone,"tall, short,","hairy, thick, thin",blue,"close to, aroud","4, 5",someime,money,"big, space","afraid,","nerd, geek, smart, genious","small, petite, little","try, attempt",sneaky,smear,"hard, petty","loud, scary, dark, windy","water, sad, joyful, mad, glad","hypotheses, statement","loud, rumbling, noisy,  scary",go to,"big, small",not fair,"nice, takes order, tips",liquid,big,fret
65893,10/26/10 10:58,10/26/10 11:20,22,"the wings, the engine, the seats, the doors, the storage, the pilot","the actual board, the design","to pay attention, the police","every year, anniversary, birthday","computer, fruit, of my eye","donkey, butt, you can act like a, kick this","to try,","performance, rock, make cds.","stalk, baked, food, grows in the ground","weight on your shoulders, a child,","marriage, play together, go to school","sundays, christ, dress nicely","chowder,","nails,","hats, yellow, orange, noisy, buildings","food, breakfast, kitchen","dont blow this, of a magazine, take this in a storm","knife, is filled with jewels","sweat, store, secret,","florida, animal, sea world, ocean","shopping, store, prom, wedding","early in the morning,","direction, coast, winds,","pyramids, africa, gold, heiroglyphics","clothes, jewelry, diamonds, college,","a concept, math problems, a story","hungry, kitchen, lunch, dinner, fight","orange, forest, and the hound","alcohol, and juice, bottle","greeting, goodbye,","comforting, to show compassion, embrace","injury, feelings, pain","exhale, breathe in, and relax","band, trumpet,","secrets, trying, something in your possession","wedding, man and woman, priests do this","good looking, dating, tall, buff","on a man, circus, bikers,","water, army, blue","close by, or far","math, cell phone, quantity",only one time,"in flavor, with money, people","live in, you can wait in this,","health, at halloween","experiments, chemicals, test tubes","stature, not tall,","of alcohol, out of a gun, in basketball, an attempt at something","fox, tricky, robbers","on your shirt, dirt, food stains","ground, buildings, statues","warning, watch, lightning","crying, of happiness","psychologists, an idea","lightning, a sound, storm","vacation, and fall, up,","gold, winning, wife","is life,","restaurant, server, male,","dog, rain, shower, puddle, water","is round, countries, alot of people, cup","wart, gives you wrinkles, stressed out,"
65719,10/26/10 12:45,10/26/10 13:09,24,"is a sort of transportation, travel. carries people and luggage, takes off and flies in the air,","used in the ocean, a fun exercise, used on waves,",something that makes someone feel ready,once a year,"a fruit, red or green skin, white inside, has a stem, has seeds","a donkey, a mammal","to try to do something,",a group of people who each play instruments,"grown, a crop, black, brown, or fried",to hold something and it get somewhere else,"little humans who like to play, be outside, and are the ages from 3-12",a religious place known to hold services or mass for hold people,an animal in a shell,"used to cut things, toe-nail clippers, tree clippers","people working on creating something new, could use tools",someone who provides food for other people,the beginning of a book or first page of a paper,weapon,put on to prevent smell and perspiration,"an animal, a mammal, swims int he ocean, eats fish, smooth texture of skin","a piece of clothing mostly worn by women,",right before night time,"compass, north south west","a place, a desert, sand, tombs, pyramids","something that costs a lot, uses a lot of money","to talk about, to make clear","what humans, animals, and every living thing needs to survive","an animal, a mammal, lives in the woods",grin,"a conversation starter,","a sign of compassion, arms wrapped around a person","something that doesn't feel good, physically or emotionally",to breath in through nose or mouth,"a object where sounds comes out, piano, trumpet, drums, etc",to hold for yourself,a girl name,opposite of women,hairs under the nose and above the lip,People who work in water or ocean to protect our country,"opposite of far, close to","you can add them. subtract them, multiply them, or divide them",only one time,"wealthy, lots of money,",where furniture is located,afraid of,someone who conducts experiments to prove a thesis,opposite of tall,"in the arm, to prevent diseases, to prevent flu, given by a doctor","very sneaky,",a mark that is smeared,"found outside, houses are made of it,","something that happens outside, lighting, rain, thunder","a liquid substance that comes out of your eye when you are emotional, or when u yawn","a thesis, not true but also not false",a loud noise caused by lighting in the sky,"vacation, somewhere to go","a reward, metal, object used for sporting or other events",something not right,a man who works at a food place and takes orders and delivers food,opposite of dry,"where we all live, ocean, land,",to be afraid
65920,10/26/10 13:55,10/26/10 14:33,38,flys engine wings wheels seat pilot tail wheel passenger flight attentdent food pillow time sky turblance transportation,wax wave surfer rock shark turtles ocean water swiming trunks salt contest,alarm noise caution danger warnging,yearly birthday christmas meetings grades,green red sour fruit,butt poop fart smelly grosse,try give-a-go succeed fail,marroon 5 blink 182 high school college music instruments,FOOD gross disgusting bad taste,hold football back credit money fruit,nice fun interjetic fast outgonig,bible god preist sunday nice suit,relaxed not worried unstressed summer,baseketball baron davis LA ship,men build house hammer nail wood metal hot cold,food fat yummy skilled fun hard,book resume title words front picture first,knife kill stab blood ninja injury,smell armpit pleasant men women old spice,mamamal water ocean beak swim protective jumps,girl up attire clothes nice fancy,dark light colorful different sports spring,left asia opposite of west,africa pyriamid mummiies sand movie,money range rover gold diamonds cash,evaluate structure math how things work science,hungry cheese burger pizza taco delicous,wolf animal mammal 4 legs teeth bite predator,engin alcholal drunk,hi whats up how are you,embrace kiss nice girl guy arms body,pain agony blood band aid scream,breathe air oxygen mouth nose lungs,flute saxophone music class song musicain play record,stay out dont give away,man women lifetime white suit happy glad,strong sports passonite competive labor,hair beard old shave go t men,college water military boat ocean,close approxmitely almost map directoins,2 5 11 22 michael jordan math science,1 time in a lifetime weekly dailly,wealth money mansion limo gold diamonds,house bunkbed tv books posters,afriad nervous scream terrror fright,smart biology chemistry teacher chemicals,midget not long small  jockey quick,gun basketball hockey alcohal bullet puck ball soccer,clever smart decitful con fox lie,dirt shirt pen paper hand pants elbow,rock hard marble house countertop castle,thunder lighting rain snow  cold cloudy,sad cry rip shred upset depressed,guess accepted science evolution school,lighting rain cloud flood scary loud,florida Ozarks car plane boat fun time,win 1st compeiton sport fun determination passion,unjust not right dumb sports law,waitress resturant food soda tip bill,water soaked pool splash cup swiming trunks,North south west east asia europe antartica,nervous inticapte wort unsure
62311,10/26/10 14:46,10/26/10 15:05,19,"big,flies in the sky, used for travel","flat, hard, long","watchful, prepared, threat","reocurring, happened more than once, tradition","fruit, has seeds, grows on trees","donkey, profanity, reference to butt","try, involves a new experience, effort","hold something together, restrain, hold tight","edible, seed, green","support, transport, lift","human being, young, family","Catholic, worship, religion","hard, water, organism","cutting, instrument, shortening","building, planning, team","food, person who makes food, appliances","protection, conceal, hiding","knife, weapon, defense","put under arm, covers BO, white","lives in water, not a predator, friendly","clothes, person, article of clothing","Early, a little light, morning","direction, horizon, sun rise","country, desert, pharoh","high price, high quality, high demand","clear up, distinguish, make clear","eat, nutrition, substance","lives in forests, mammal, has a tail","alcohol, cards, seeds","greeting, conversation, talking","involves another person, involves opening arms, and embracing","pain, physical or emotional, healing","breathe in, air way, lungs","tool, musical device, formal document","obtain, hold on to, posession","vows, 2 people, legally bound","boys, penis, sperm","facial hair, above lip, itchy","color, branch of army, over sea","close, distance, position","expression, math, value","one, occation, time","money, abundance, prosperity","space, building, occupy","nervous, sudden, fear","smart, studies, science","measuring, small, below","involves a gun, hurt, bullet","sneaky, lie, cuning","ink, rubbing,  smear","cold, hard, rock","clouds, precipitation, noise","emotional response to stimuli, result of crying, salty","explanation, ideas, possibility","after lightning, storm, clouds","stumble, object in the way, fall","involves winning, tall, shiny","equal, rules, life","restaurant, customers, food","damp, water, something got water on it","round, countries, natural features","anxiety, problem, danger"
65728,10/26/10 14:55,10/26/10 15:19,24,"large, metal, carries passengers, flys fast, flys high, long distance trips","glides on the water, recreation, fun, sport, holds someone on top of the water",warning,happens every year,"fruit, baseball sized, sweet, sour,","donkey, butt, fool",try,"musical, members, instruments","burried in the ground, needs water, needs sunlight, grows into a plant","bring, hold, take",kids,"house of God, mass,","animal, lives in water, lives in a shell","technical term for a weather front, tool that clips, basketball team","building, making, working","make, prepare, one who prepares food","blanket, to blanket, sheet, to disperse evenly","short sword, knife, blade","no stink, no sweat,",water dwelling mammal,"to clothe, an artical of clothing",sun setting,"not west, right on a map","pyramids, pharoes, Nile river",costing a lot of money/time/energy,"to talk about,","taste, eat, necessary, healthy","small mammal, pointy ears, fluffy tail, sharp teeth","card game, alcohol","greeting, polite, common curtosy, hi, hey","embrace, hold, tight fit","pain, physical, emotional, psychological","breath in, suck in","tool, musical, practical","to save, to hold,","to join together, to unite, to become one","people, fathers, sons, husbands, uncles",facial hair on upper lip,"Military branch of the waters, dark blue","not far, close,","digit, value,",one time,to have an abundance of something,"has walls, has a floor, has a ceiling","frighten, startle","experiments, lab coats, educated, methodical","not tall, not enough, small","bullet, gun, antidote, vaccine, seringe","cunning, deceptive, secretive",smear,"rock, its hard, to throw rocks at until death","weather, rain, sleet, snow, wind, ice","to rip, to split, something you cry out","thought, idea","lightning sound, storm","excursion, fall, slip","prize, first place, win","predjudice, racist, sexist, biased","server, brings food/drink",submerged in liquid,"globe, community, people, land forms","to be nervous, to be scared"
64666,10/26/10 15:59,10/26/10 16:09,10,"it flies, has an engine, has wings, seats people,","flat, it floats, goes in water, colorful, long","focused, awake, paying attention","once a year, at the same time each year","edible skin, different kinds, red, gala, juicy, had a core, has seeds","a  donkey,a  butt, a jerk","to try, takes effort, performed by amimals or humans","musical, rubber, marching, has instruments, has a singer, formed by people, holds things together","it is small, round, and edible","lift and move,","little, young, happy, not fully developed","a building, a chapel, stained glass, has pews, has bibles, has a priest, has a choir, people attend it,","lives in a shell, lives in the ocean, a mucsle,","cuts things, can be sharp","building, wood, nails, hammers, saws, pipes, metal, electricity","makes food, boils, bakes, chops, dices, blends, mixes,","used to keep warm, a blanket, to protect yourslef","a knife, used to stab, especially in Shakespeare's plays","used under arms, comes in a stick, has different odors, is usually white, has a lid, protects against body odor,","friendly, gray, has a fin, has a pointed mouth, lives in water","clothing for girls, made of cloth, can be long or short","the sun is setting, the sky turns pretty colors,","opposite of west, Maine, coast, middle east","a country, had mummies, has pyramids, has deserts","costs a lot of money, cars, houses, boats,vacations","verbal or written, or psysical, show an idea","edible, necessary for living, made of ingredients, hot or cold, fruit, vegetables, dairy, protien, carbohydrates, sugars, fats","has a tail, has fur, has sharp teeth, often red, likes to play, carnivor","a card game, a kind of liqour, played, spoken, dranken","a greeting, can be spoken, can be written, can be typed, a word, has five letters, used in the English language","squeeze, loving, caring, friendly, reassuring, supportive,","physically in pain, emotionally in pain, blood, broken bones, bruise, scratch, hurt feelings, bruised ego","take a breath, breathe in, fill luns with air, diaphram expands","musical, has strings, has keys, has a mouth piece, is played, makes sound, in bands","to hold on to, to treasure","a girl's name, Jesus' mother, has five letters, is capitalized","deep voice, large hands, prominent adam's apple, don't have to shave, have a penis","coarse hair, above one's lip, mostly on men,","a color, a shade of blue, a branch of the military, on boats and water","close,","a digit, not a letter, used to count",a single time,"wealthy, not in financial debt, has nice things, has a lot of money","has a ceiling,has walls, has a door, has a floor, often has windows, furniture","to frighten, anxious, fast hearbeat","does experiments, takes surveys, does studies, gathers information, forms therories, forms hypothesis, takes chances","vertically challenged, not far off the ground","a small glass of strong alcohol, to be wounded by a gun","sneaky, to get away with something, to fool someone","to smear, not crisp, not precise","hard, cold, smooth","rain, strong winds, thunder, lightening, hail, snow, sleet, clouds","salty, falls from eyes, appears when sad, hurt, confused, angered, joyful, relieves emotions","an idea, it is testible","comes after lightening, occurs during storms, can be frightening","vacation, take leave, to fall or stumble","to show who has won, given after tournaments, has writing on it","not equal, favorable to one side","brings food, takes orders, makes drinks, workes in a restaurant","liguid, not dry, slick, not solid","the earth, it is round, it has seven continents, it has five oceans, it revolves around the sun, it has one moon","causes wrinkles, causes stress, a human emotion,"
63292,10/26/10 16:42,10/26/10 16:59,17,"has wings, has a tail, runs on gas","is long, made out of wood","awake, paying attention","every week, month, or year","red, crunchy, healthy","donkey, rude person","try, fail, achieve","choir, orchestra","green, lima, baked","lifting, moving","kids, school","steeple, rows","Ocean, Food","bush, scissors","Hard Hats, tractor","pot, pan, spoons, ingredients",keep out of rain,"knife, sharp, dangerous","perfume, smelly","fin, tail","pants, shirt, underwear","dawn, night, day","west, north, south","Nile, River","diamonds, gold, silver",reexamine,"ice cream, cookies, apples, editable","sly, tail, legs, fur","alchol, drunk","hi, welcome, ahola","kiss, embrace","cast, broken","breathe in, exhale","drum, paino, trumpet","save, put away","spouse, wedding","male, tesosterone","comb, razor","blue, dark","far, close","one, two, three","twice, movie","poor, expensive","space, door, walls","spook, freak out","lab coat, chemistry","tiny, little, not tall","gun, try","fox, sneeky","mess up, wipe away","rolling, grey","clouds, rain","rip, in half","music, physics","lightning, rain, storm","travel, vacation","shiny, gold","not right, bad","tip, helpful, job","soaking, water","US, China, Austrailia","stress, scared"
63034,10/26/10 22:32,10/26/10 22:46,14,"Wings, Body, Flies, Travel","Water, Sharks, Hawaii","loud, annoying","once a year, parades, carnivals","red, hard, juicy","donkey, butt, cuss word","practice, failure, win","guitar, drums, bass","chilli, black, brown, mushy,","people, baskets, clothes, merchandise","loud, school, young","pews, bread, wine, people","edible, squishy, shell","bush, tree, hair","concrete, orange hats, dirt","stove, microwave, oven","blanket, cozy, fluffy, fuzzy","sharp, silver","smells, hard, spray, flowery, fruity","water, blue, smart","short, white, black, long","purple, pink, yellow, almost night","coast, jersey, new york","egyptians, hot, sandy","gucci, dolce and gabanna, purses","understand, words","bananas, meat, apples","red, small, cunning, woods","alcohol, brown, potent","hola, bonjour","warm, nice, loving","bruise, sprain, cut",oxygen,"shiny, loud, wood, strings, brass","items, clothes","groom, wedding, church","boys, mean, crazy","long, hairy","blue, dark","close, not far away","math, date, phone",wedding,"hollywood, big house, money","bed, carper, tv","ghost, clowns, hallloween","chemistry, ecology, biology","small, miniature","gun, arrow","cunning, fox, people","mud, dirt, paint","rock, grey, hard, outside","thunder, rain, lightening","water, sad, blue, upset","science, something that is true","rain, clouds, storms","long, boring, car, cross country","gold, silver, hard, plastic","losing, getting hurt","food, restraurant, chairs, customers","water, fish, sharks, drink, swim","water, mountains, dersserts","anxiety,"
63535,10/27/10 12:34,10/27/10 13:00,26,"it flies, has wings, people ride in it, its big, it has a jet, has pilots, can crash, transports people","it floats, in the ocean, people ride on them, different colors","an emergency, is bad, can be serious, involves an alarm","a year thing, every year, holidays involve this, celebrations","is red, is yellow, is crunchy, is juicy, poeple eat these, healthy food","a donkey, poeple have this, body part, has teeth, has a tail, is an animal, is a horse breed","try to do something, may fail, may complete, can be hard, involves a problem","creates music, can be bad, can be good, involves beats, has a rythme, can dance to this, are on the radio, are on tv","can be eaten, different kinds of these, can be green, is a vegiitable","picking something up, move something, can be heavy, can be light","from adults, involves sex, can be annoying, you take care of them, they learn, boys and girls","involves god, you pray there, a preacher is there, a choir is there, involves the bible, different religions","is in the ocean, can be eaten, people catch them, live in water","cuts things, can be sharp, can cut hair, used bey a barber, makes things shorter","making something, usually with buildings, people do this, hard work","makes food, can be good, can be bad wears a white hat","on top of something, can make something warm, can hide something","sharp, like a knife, can kill someone, can cut, can stab","can be white, can be clear, poeple use this, smells good, put under arms, can be clear, can be white","eats little fish, a nice fish, is a fish, can swim, is very smart, can jump out of the water, people can train them, people swim with them","women wear this, not pants, can be long, can be short,","about dark, not the morning, more in the evening, not light, can be scary, in movies","a direction, describes a place, on a map, can be a direction to a place, one of the four main directions","is a country in africa, has deserts, has pyramids, has egyptions","a lot of money, people buy these type of things, not a good thing","telling people something, directions, involve a task, teachers give them to students, can be complicated, can be understood easily","eaten, survival need, can be good, can be gross, can be hot, can be cold","are sly, are studied, makes noise, has a tail, has teeth, is orange, can be white, lives in woods, is a dog, different kinds of these","in an alchohol, people drink this, can effect peoples actions","greeting, people say this to another, introducing, being friendly","embrace, invilves emotion, involves body, wrap arms around eachother, incolves two or more people, involves embracing","is a pain, everyone has this, involves different injuries, can be minor, can be serious","breath in, can be bad, people need this to survive, usually air, a gas","creates music, different notes, different kinds, can be brass, can be a woodwind, can have strings, can be difficult to use, different kinds","dont give away, stays yours, being greedy, its yours, can be a treasure","a commitment, rings, two people, can be ruined, involves a family","is strong, can be weak, one gender, organs inside, has a penis, has facial hair","on a persons upper lip, color as their hair, hair, can be shaved, can be grown out","is a type of blue, color of pants, is a type of military, involves water, type of color","close to something, trying to find something, involves looking for something","infanite amount, can be counted, involved in buying things","one time, in a sentence, describes one, describes chances","a lot of money, a type of soil, can get people a lot of things","has furniture, has a door, has windows, has closets, in a house, has a floor, has walls","fear, people can get this from others, can involve death","smart, involves chemicals, involve science, a study, involves environment, person","not long, small, tiny, smaller than something else, people can be this, descibes height","comes out of a gun, can kill people, can injure people, makes a loud noise","sneaky, in movies, in real life, can hurt people, can be bad, sneaky","smear something, can be gross, little kids do this, an accident, can be on purpose","hard, rock, gravel, can be split, different kinds of these, people make things with them","participation, involves weather, can be life threatening, involves rain, involves snow","split something, rip something, can be a cloth, can be paper, can be a verb, can be a noun","testing an action, science is involved, poele create these","in thunder storms, bad weather, people are scared from this","a vacation, involves family sometimes, cost money, fun to be on","a prize, getting first place, can lose this, you win this, a reward,","not the correct outcome, people complain about this, usually cheating","takes your order, at a resteraunt, gives you food, gives you water, pay them, tip them","can be from rain, can be from a pool, can be from a lake, you get in the water, involves moisture, involves a liquid, can be dried","everyone is on it, can be left, has land, has water, we live on it","sense of discomfort, can involve memory, involved in consequences"
63871,10/27/10 13:32,10/27/10 13:46,14,"huge, windows, wings, people","rough, long, hard, colorful",a loud sound,every year same time,"red, juicy",butt,trying,"noise, drums","food, brown",holding something,"crazy, toys","bible, god",relaxing,nail,carpenter,shef,the beginning,knife,"smell, white, liquid","ocean, fun, you can swim with them, sea world","fancy, short long",before dark,the side you are sitting on,egyption,alot of money,reasoning,variety,"red, mean, medium size",alcohol,greeting,friendly,"cut, broken leg",breath,band,proporty,"bride, white dress","tall, muscular",men,the navy in the seas,close,cell phone,beginning of story,a lot of money,"big, furniture, a place where you can go by yourself",scary movie,chemicals,little,gun,sneaky,smear,"hard, big","thunder, lightening","water, sad",point of view from someone,storms,vacation,winning prise,not equal,takes order at resturant,cold,globe,"nervous,"
65740,10/27/10 15:11,10/27/10 15:28,17,"flies, grey, wings, fuel, windows","fiberglas, wood, floats,","awake, wide eyed, warning","yearly, physical, taxes","fruit, pie, red, green, golden,","idiot, donkey","try, confuse","rock, orchestra, musicians","green, lima, black, chile, pole","hold, transport, move","kids, play, smiles, noise,","cathedral, hymms, organs, pastors, pews","shell, ocean, tough","ship, sails, ropes, Yankee","build, detour, change, fence, signs, warnings","make, prepare, chef, grill","blanket, quilt, top,","knife, kill, slit","smell, underarm, spray, roll on,","porpoise, happy, grey, dorsal fin, quick","dinner, date, heels, special occasion","sunset, lite, dim,","sun rises, coast, West, North, South","Cairo, nile, pyramids, sand, pharoah","rich, lavish,","detail, write out, answer","restaurant, grocery store, market, prepare, cook","animal, small, red, bushy tail, woods,","card game, vodka, tonic, lime","hi, welcome,","affection, console, touching","wound, pain,","deeply, smoke, exhale, breath","scientific, musical, play,","secure, maintain, provide","wed, groom, bride, wedding, cake, toast,","boys, guys, football,","facial hair, trim, full","color, army, ocean, sailors","close by, adjacent","amount, total, occurences","Single occurence, upon a time,  is not enough","expensive, lavish, well off,","size, drafty, light, dark, open, bedroom, bathroom, living","frighten, spook, Halloween","investigate, educated, smart, ideas, theories","small, little, tiny","injection, whiskey, dose, medicine","fox, smart, cunning, devious","smear, makeup, paint","rock, granite, marble, flooring","rain, lighting, thunder, clouds, wind, hail","rip, cut, shred,","idea, speculation","lighting, storm , rain, cloud,","vacation, business, hotel, airplane, taxi","prize, case, metal, tall, goblet shaped, award","bias, discriminate","host, restaurant, water","moisture, soaking, damp","earth, countries, continents","concern, upset, face"
65218,10/27/10 20:59,10/27/10 21:18,19,"used to bring people from one place to another, air travel, has propellers, used in combat, different sizes allows different amounts of seating, has a pilot","used on the ocean, used to surf","on watch, good observer, a warning, an announcement",once a year,"sweet or sour/ bitter, pies, desserts, covered in caramel, grown on trees, Snow White, orchard,","donkey, butt",to try,"long fiber, bracelet, group of musicians","plant, eaten, food, different types, size of a pebble","to lift, to bring somewhere, to place in one's arms","small humans, pre-puberty, go to elementary school, short stature, higher voices","house of God, place of worship, Christian, pews, alter, pulpit","creates pearls, closed tightly, lives in the ocean","something that trims something else, scissors",to build,"chef, to make something to eat","to hide, charge at a club, lid, blanket, to put on top of something to obscure it","knife, weapon, used for stabbing,","worn on underarms for body odor, stick or gel","lives in the ocean, mammal, Sea World, intelligent, pods, can recognize itself in a mirror","to clothe, women's clothing, attire","evening, when the sun goes down","cardinal direction, between North and South,","part of Africa, pyramids, once ruled by pharoahs, Nile river",more than someone can afford or is willing to pay,"to describe, to help someone understand","nutrition, natural and artificial, can be grown, can be bought, junk food, vitamins and minerals, food pyramid, needed for survival","good looking, mammal, scavenger, comes out at night,","alcohol, dark colored, too much makes someone intoxicated","greeting,","embrace, two people, arms around each other","to be in pain, to make someone else be in pain, physically or emotionally",to breathe in,"creates music, a tool used by someone","to not give away, to posess",to legally wed,"facial hair, male genitalia, deep voices, aren't expected to shave legs or armpits,",facial hair above the upper lip,"shade of blue, part of United States Armed Services","opposite of far, close in proximity","based on different systems, used to count or to assign value",one time,"have alot of money, can afford expensive items","sections of buildings, rooms have different purposes based on what is in them",to frighten,"one who studies science, one who conducts experiments, uses the scientific method","opposite of tall, desciption of height/ stature","a vaccination, needles, guns, to have a bullet in you","clever, sneaky","a smear, imperfection","to throw rocks at someone, a rock","rain, wind, sometimes thunder and lightning","to rip, comes out of tear ducts,  comes out of eyes when crying","musical theory, formed from hypotheses, generally accepted rule","follows lightning, hear but can't see, rumble, sound waves","vacation, to go somewhere, to travel",a prize won,"opposite of fair, unequal, not desireable, life, not in a person's favor","serves you at a restaurant, brings you food, bill, drinks",liquid residue on a surface,"the planet, the globe, all of the inhabitants of Earth, someone's everything","to think about over and over, to stress about something,"
64774,10/28/10 12:07,10/28/10 12:52,45,It flies. When they crash its big and firey. it holds people. it is flown by two people. It has two wings. It is large. It has a tail. It has wheels. It has windows.,Its long. It is used to stay above water. It has fins. they have a string that attaches to you. Its made of fiberglass. usually expensive.,To warn you about something. Danger alerts,once a year. celebration usually.,Red. Green. Yellow. Keeps doctor away. Worms like them. Good gift for teacher. Grows on tree. Has a stem. Made into pies,Hair. Poop gets caught in the hair. Gay Fags Do each other up it.,top make tries at. To work to acomplish something.,makes music. Has members. sometimes screams. Get in trouble with tabloids. has a steriotype. Uses drugs.,Many different colors. Magic beans make things grow.,To transport. Use baskets.,Noisy. Little version of parents. Has many toys,"Steeple. Pastor, youth group. Congregation. bible. Has services. Takes offering. Give communion. Has a choir. Candles..",Found in the ocean. Has a fishy smell.,Cuts things. Has blades.,Hard Hat. Building something. Orange vest.,Food. Making things hot. Uses many tools,To protect things. Keep from damage,Sharp ended. Used to kill people. Make of metal. has a handle. Small in size.,Used to stop Body oder.,Has a dorsal fin. Have a snout. Are leathery. Can be trained to do tricks. Very smart. Speak in clicks and whistles.,Article of clothing. Usually one piece.,Dark. Usually gets cold. People go to sleep around then.  vampires come out.,A direction. Asia is located there.,Sandy. Pharoahs. Cats. Pyramids. Desert. Moses was born there. Hyroglyphics. Make people mummys before putting into sarcarphaguses.,Diamonds are expensive. You have to pay a lot to get something.,descriptions. details. reasons. truths.,Vitil for growth. Needed for energy,Bushy tail. Red. Very sly.,Type of alcohol. makes stupid things funny,Greeting. Way to meet people,to show adoration. Hugs not drugs. To show affections. Wrapping arms around one another. Tight squeeze,Injured. To feel pain. Heartache,Breathe in. Take in substances. Smoke weed.,"Usually noisy, Takes talent to play. Some have strings. Some you hit. Some you blow through.",Not give away. hoard.,combine man and woman. exchange vows. make a promise. til death do us part. Exchange of rings. wedding party.,What woman was made from. Has a weiner and two nuts.,Short hair on upper lip.,Color of blue. Men working at sea to protect the USA,Not far. Closr to something.,Digit made of 1-9. No end to them.,less then twice. more then never. Rare occasion. never happen again.,to have a lot of money. own a lot of things.,Beds. Has closets. Desks.,make loud noises. Monsters. Catch someone off guard.,Smart.  Highly paid. Logical. Made Frankensteins.,Not long. Could mean easily angered,1 oz of alcohol. Vaccines are injected through them,Fox. Sneaky.,"Smear. To make not clear. To rub., Mark.",Rocks. Throw rocks to kill someone.,Scary. Has lightning and thunder and rain.,Rip in two. Painful.,Somes take on something. Science hypothesis,Noisy. Makes things shake.,Going somewhere. Falling down stairs,Earned for winning something. Could be woman you win with something.,One person gets something another doesnt. Not equil,Bring food and drink. Works in a restraunt. Works for tips,Makes things slippery. Turns things soggy,"Where everyone lives. Earth. Made of a bunch of water, and some dirt.",to fear about. To be nervous
64546,10/28/10 12:58,10/28/10 13:12,14,"Large, Aerodynamic","Flat, Float, Hard","awake, aware",every year,"fruit, seeds, red, green, yellow, stem",rear-end,try,"instruments, loud","food, meat","hold, protect","small, precious, future","God, priest, faith, bible","pearl, meat, food, ocean","razor, cut","building, tools, lumber","food, heat, utinsels","hide, warm","sharp, mini-sword","smell, essential, body odor","mamal, ocean, smart","formal, pretty, feminine","twilight, sun, night","Atlantic, direction","pyramids, sand, sphinx, desert","high quality, nice",elaborate,"utensils, filling, essential","red, animal","alcohol, tonic","greeting, poliet","warm, arms, personal contact","bad, bruise, blood","breathe in, exhale, essential",Make sound,important,"rings, husban/wife, church, priest",testosterone,"man, hair, lip",military,close,numerical,"singular, one time",money,"four walls, ground, ceiling",surprise,"smart, helpful",not tall,"needle, medicine, syringe","secretive, not good",smear,hard,"thunder, lightening, rain, wind","eye, salty, sad/happy","not concrete, guess, must be proven","loud, ions, rain, storm, lightening","vacation, car, plane, hotel","winner, award","not right, favoritisim","order, polite","water, moist, drip, towel","round, people, oceans, continent",anxious
