id_code,start_time,end_time,duration,zebra,house,fudge,girls,tree,string,splice,surgery,turtle,branch,emergency,amuse,schedule,patient,shoe,lost,strange,temple,dull,conference,sunset,doll,simple,puke,south,am,wound,tape,achieve,road,cave,ladder,find,tissue,ashtray,film,beast,meat,zero,ship,fragile,die,question,pancakes,vomit,sword,slip,syrup,bother,wimp,it,male,empty,tupperware,gloves,ax,small,cabbage,feet,quiet,search,rock
63385,9/22/10 16:17,9/22/10 16:39,22,"has stripes, lives in Africa, is black and white, has hoofs, eaten by lions","shelter, holds a family, has living space","candy, marshmellows in it, melts in mouth","smarter, less domineering, nurturing","has leaves and bark, grown from ground, usually big","thin piece of cloth, makes up cloth","cut, opens things up, made by sharp object","open you up, fixes something, done by surgon","reptile, has shell, slow mover","comes from tree, made of bark and leaves, not main part of tree","serious, need to take action quick, needs attention","to entertain, keep attention","list of things in time limits, used to keep track of things","sick, in hospital, needs care","goes on food, worn outside, protects food","not found, gone, missing","odd, weird, not right","holy place, place of worship, godly","boring, not bright, lackluster","meeting, has lots of people, usually for a certain subject","means night is coming, pretty sky, sun goes down","toy, minature person, girls play with them usually","easy, quick, painless","vomit, sickness, need the bathroom","opposite north, towards bottom","morning, has 12 hours, early","open on body, bloody, needs bandage","holds things together, used mostly with paper, sticky substance","succeed, to get something","hardtop usually, takes you somewhere, cars are used on it","hole, dirty, dark, creepy things live in there","used to get to high places, lean it against something, climb on it","locate, look for, object unearthed","soft paper product, used for nose, used when sick, comes in box","cigarrette users use them, catch ash from cigarrettes, look like small bowls","social event, video, viewed on screen","big, animal, scary","comes from animals, something you eat, has protein","a number, means nothing, holds no value","has captain, in water, holds things","breakable, handle with care","not living, sad, all systems stop","has an answer, used to learn from, put on tests","made of flour eggs and milk, cooked on stovetop, eaten for breakfast","comes from the stomach through mouth, sickness, spending time in bathroom","weapon, used before guns, very sharp","fall, something slick made you trip, usually ends badly","used in morning, mostly sugar, used on pancakes","sibling, has the same genes as you, has same parents","weak, bullied, small","has many meanings, used a lot, my word for a girl i don't like","testosterone, dominate, protector","nothing, hollow, meaningless","made of plastic, holds food, hard to find lid for","protects the hands, made of strong substance, used during winter or hard labor","sharp, cuts down trees, red blade with wood handle","tiny, takes up little space","green, in salad, grown from ground","on bottom of legs, has toes, helps you walk","no noise, silence, hear your thoughts","look for, walk around picking up things, missing item to find","earth, ground, hard, solid"
63868,9/22/10 17:12,9/22/10 17:23,11,"striped, animal, not common,","home, shelter, brick, stone, food, family","candy, chocolate","drama, giggle","green, brown, branch, tall","cheese, light",split and ice,"knives, doctors, surgeons, nurses","hard shell, green, slow","tree, brown, bark","ambulance, needs help right away","funny, parks","precise, school, on time","hospital, hurt, confused","high heel, tennis shoe","confused, don't know where to go","weird, smell, awkward","church, god","bland, boring",meeting,"pretty, colorful","hair, plastic",easy,"nasty, chunky, gross","below, arkansas",what you're doing,"hurt, scratch, accident","sticky, music, holds things together","success, accomplish","black, yellow stripes","bats, dark","steps, climb,metal","something, scavenger","lightweight, sneeze","dirty, germs, ash, cigarette butts,","old movies, pictures","scary, beauty","food, red, white",number,"boat, floatable","easy to break, glass","death, funeral, caskey",answer,"chocolate chip, circle, syrup, smells good","puke, nasty, gross","sharp, heavy","lightweight, fall","waffles, sugary","big brother, protective",can't do much,sex,"testosterone, sex","nothing, open","glad, plastic, lid","warm, cold weather",cut wood,"short, little, cute","vegetable, gross","toes, little, gross","soft, listen","google, looking for something","hard, music"
63502,9/22/10 20:30,9/22/10 20:41,11,"stripes, color, lines","possessions, items, supplies, necessities",chocolate,"nice, talkative, interactive, competitive","branches, limbs","guitar, music, listening",chop,"problem, solve","shell, slow",tree,"911, truble","laugh, fun, entertain","management, time","sick, needy","foot, toes",needy,"different, weird","god, study, pray, praise, listen, meditate",blank,"meeting, business","morning, night","toy, friend","easy, natural",vomit,"area, region",morning,"soar, tender area, infected","stick, piece","succeed, rise, win","signs, lights, cars","bats, bears, vampires","up, climb, work","found, search",buggers,"cigarette, trash","movies, actors",misunderstood,"hotdog, hamburger, sausage","number, amount",travel,"delicate, flowers","gone, end",help,yummy,"sick, drunk","sharp, kill","fall, loose","pancakes, waffles","to burden, upset, irritate","loser, careless, weak","item, one","boy, man",none,"food, cookies, sugar","hands, fingers, protection",wood,"little, tiny","food, vegetable","sweaty, stinky",peaeful,"look, gaze","ground, earth, floor, grass, nature"
62938,9/22/10 21:05,9/22/10 21:27,22,"stripes, africa, animal, lives in a zoo, four legs, white & black","walls, doors, people live in it, different sizes, different colors, rooms","brown, dessert, christmas time, chocolate,","pretty, prissy, drama, mean, center of attention","green, outside, trunk, leaves, oxygen","tie together, shoes, cat toy","cut, split","save someone, help, doctors, hospital","green, cross road, animal, four legs, water, eat grass, slow moving","part of tree, part of something, segment","emt, urgent, serious, hospital","aw, like, get attention","plan, organizer, daily planner,","claim, make official, own something","feet, protective, different types","confused, disoriented, helpless, stranded,","weird, socially awkward, not normal","building, jewish, church, worship","boring, not fun,","meeting, people, informational, work,","pretty, at night, everywhere, west","girl, toy, dress up, play with","easy, not hard,","vomit, smells, caused by many things, food, throw up","down, confederate, hot, accent, nice, southern bell","i, self, me","hurt, cut, burn,","hold together, many different types, sticky","win, accomplish, finish,","drive on it, curvy, lines, leads to destination, travel on it","scary, dark, cold, bugs, underground","paint, get up to places, assist in tasks","discover, achieve,","blow nose, snot, tears, use when sick","cigaretts, smells, smoker","movie, actors, actress, director, plot","strong, scary, good,","food, white, red, from animal","none, gone, not there","on water, to travel, for fishing","breakable, careful, not hard,","dead, no longer, over, finished","answer, asks, needs information","syrup, breakfast, fry, quick to cook, taste good,","drunkeness, beer, sick, throw up, food, stinks,","pirate, stab, fight","fall, piece of paper, wear under dress","on pancakes, breakfast, sticky, brown, good,","annoy, get on nerves,","won't stand up for self, scared, push over, nerd","thing, mass, takes up space, idea","tall, player, sports, selfish","gone, over, not there","container, holds stuff, microwaveable, lids","on hands, keep warm, fingers,","cut, hack,","little, tiny, not big","vegetable, leaf like, nasty","body, nasty, toes, different sizes","not loud, doesn't talk, simple","look for, discover, find, seeking something","round, everywhere, on the ground, smooth, hard"
64270,9/23/10 12:58,9/23/10 13:30,32,"striped, is an animal, has hooves, from africa, kinda like a horse, kinda small, eats grass, canters, runs, can be ridden","place where you live, place your family lives, is big, is white, is modern, is two stories tall, has two floors and a basement, has windows, has doors, have many different rooms","delicious, brown, chocolatey","vagina, wimpy","brown, leafy, old, tall, young, short, wood","long, really small",cut in half,"to cut something or someone open, fix something","slow, green, small","of a tree, brown, leafy",dire,"funny, entertaining","time, organization",needs to be examined,"big, small, colorful","the show, amazing",different,place of worship,"ugly, boring","lecture, boring, long","beautiful, colorful, bright","has blonde hair, looks like a human, for little girls",easy,"bile, half digested food, repugnant odor",southern accent,time,injury,"used to connect things, cleer","to win, to complete something","assfault, black","big, dark, has bats","metal, wood, long, tall",locate,"blow ur nose in it, soft, white","stinks, has cigarrette butts, dirty","is black, on a reel,","imaginary, huge","beef, chicken, food, delicious, cow, pigs, bacon",nothing,"wooden, metal, for the navy, for fishing, for cruising on the lake, slow, has masts, has engines",easily broken,end of life,answer,"fluffy, buttery, delicious, food","smells bad, chunky, from your stomach, half digested food,","sharp, long, big, heavy",fall,sweet,annoy,cowardess,anything,"penis, muscles",gone,"plastic, stores food","warm, protective","sharp, heavy",tiny,"green, leafy, watery, is food","ugly, long, short, fat, skinny","no talking, no noise",look for,"dull, small"
62695,9/23/10 14:05,9/23/10 14:45,40,"Black and White, stripes, animal, has hooves, large, grazes,","People live in it, usually sturdy, permanent, has a roof, in a yard, provides shelter,","candy, chocolate, sweet, edible, can melt, sticky, rich tasting","young women, go to school, play with other girls, wear dresses","tall, has leaves, has bark, grows, needs water, needs sunlight","thin, weak, ties things together, found on shoes,","cut, made by a sharp object,","done at hospitals, performed by doctor, animals and humans undergo, surgery is an outcome of complication, makes you nervous, medicine accompanies","green, has a shell, can pull its body inside the shell, lays eggs","comes off a tree, has leaves, brown, smaller than a tree, grows outward, has buds, continues to grow,","urgent, scary, compelling, call 911, go to the hospital, support is needed","laughter, fun, enjoyment, hobbies,","used to plan in advance, usually on paper, includes calendar, write in it","seeing a doctor, asked questions, may have an issue needing resolved,","worn on feet, protect your feet, used a fashion, common amongst humans,","unable to be found,","unusual, intriguing,","used for religious purposes, people meet there,","boring, unexciting, doesnt hold attention, nothing special","meeting of people, usually large group, discuss important issues","daily occurance, colors change, happens in the evening, pretty, relaxing","toy for children, usually a female, entertainment, can be collected","non difficult, easy,","bodily fluid, comes from your stomach, result of sickness, smells bad, unpleasant feeling","hot, down,","what something can be described as, a word,","hurts, painful, red, blood comes from, unlpleasant","sticky, clear, comes on a roll, used for putting 2 things together,","accomplishing a goal, proud moment,","used for driving cars on, black with yellow or white stripes, leads to places","dark, damp, cool, water, rocks, animals,","used to reach high places, has rungs, shaped like A,","something youve looked for, excitement follows","soft thin paper, white, used to blow your nose, comes in a box, found at the store,","holds ash from cigarettes, circle,","movie, watched on a tv, used for entertainment, used for education, visual learning","scary, might attack you, large, frightening, hairy, loud","comes off of animals, edible, tasty, common food, thick, chewy,","a number, represents a non existing value of something,","floats on water, can provide transportaion, large, used by military","breaks easy, made of glass, be careful, valuable,","a single dice, can be rolled, has 6 sides, dots on each side, white with black dots, used in games","asked by teachers, comes with an answer, followed by a question mark when written, asked,","eaten in the morning, syrup accompanies, breakfast food, can be homemade, tan colored,","Smell bad, bodily fluid, caused by sickness, comes from stomach","sharp, made of metal, has a grip on the end, used in fighting, dangerous","worn under a dress, used when clothing is see through, women wear, silky","sticky, sweet, gooey, comes in bottle, used to put on breakfast food,","hassle, something you dont want to do, annoying, inconvienence","cries a lot, whines, small, helpless, complains,","can be many different things,can describe what your talking about","hairy, dominant, strong, deep voice, a human, aggressive, facial hair,","nothing inside, holding nothing, lack of objects","made of plastic, has lids usually, holds food usually,","made for hands, worn when cold, used for protection, comes in different colors, 5 fingers, tight fit, one size fits all, different for men and women","used to chop wood, sharp, can be dangerous, tool, made of steel","hard to see, have to squint, may overlook, below average","vegetable, green, leafy, bitter, edible, natural","part of the body, used for walking, have 5 toes on each, 2 feet are common for humans, shoes cover them","no sounds, peaceful, relaxing,","paying closer attention, trying to find something, used when an object is lost","had, found outside, made of combined materials, dirty, rough, natural, commonly found"
62818,9/23/10 15:19,9/23/10 15:32,13,"has stripes, is a mammal, is large, eats grass, lives in africa, is at the zoo, roams around, travels in packs","family lives inside, has many rooms, has bedrooms, has bathrooms, has a kitchen, has a dining room, has a family room, has lots of furniture, is brick or painted","chocolate, chewy","clothes, shopping","large, leaves","yarn, crafts","slice, cut","put to sleep, recovery","green, shell","tree, twig","911, help","funny, happy","busy, planner","doctor, sick","heels, sneakers",help,"abnormal, wierd",worship,boring,"business people, meeting","pretty, beach","little girls, toy, barbie",easy,"sick, disgusting","texas, country",are,"hurt, band aid","sticky, holds things up","goals, success","street, cars","caveman, dark","climb, tall","seek, look for","kleenex, sneeze","cigarettes, smelly","movie, camera","beauty and the..., hairy","steak, chicken",nothing,"package, boat","weak, frail","heaven, hell","answer, ?","syrup, breakfast","sick, disgusting","sharp, pirate","fall, slippery","sticky, goes on pancakes",irritate,"loser, lazy",thing,"sporty, muscles",room,"holds food, stores things","rubber, safety","tool, cut","tiny, little","green, vegetable","gross, toes","mouse, sneaky","find, google","stone, woods"
63307,9/23/10 16:29,9/23/10 16:53,24,black stripes four legs,"roof, doors, windows, and rooms",Chololate candy,"Smarter, takes better care of themselves, clean, responsible, polite, reliable","Tall, branches, green, brown, red, and yellow leaves. Oak tree, weaping willow, elm tree, a fruit tree. Can  be a house",Cord like material that is used to tie things together.,An unusual word,A procedure used to correct an issue with the body.,"slow, small animal","tree, extensions, reach out",Something that is happening that shouldn't be. Health or danger issues can be an emergency.,To be entertained.,A set description of the things needed to be accomplished and when they are.,"Sick, in need,","Protects and supports feet. Stylish, and expensive",Not able to find your self. A popular TV show,Different from the norm or what we are use to. Out of the ordinary,Science hall at MSU. A bony reagon in your body,Not very exciting. Lacking what is needed. A person can be dull if they do not have an exciting personality,Meeting to discuss or inform something. Can be a group of pepole that are involved in the same things like sports or work.,The sun is rotating. The signaling that it is about to be night time.,"Young girls play toy. Rag doll, baby doll, barbie dalls.","Something that is not complex, it is easy to interperate and not full of unnecessary information.","Sick, your body is unable to digest the food.",Opposite of north. Texas is down south.,Going to do something,When there is an injury to the body it is a wound.,"Duck, masking, scotch, colord, sticky, medical, holding things together","accomplished, successful, proud, goals",Pavement for transportation devices to get from point A to point B,A hole usually found on a mountain. Bats live in caves. Dark and can be wet,A tall or short device to get to a spot that is higer than you are able to reach,To look for something.,A item in your body,"A tray used to put ciggarett, tobacco, and other smokable items ash into.",Documented information that can be replayed on screen. Movies are film.,Big harry monster,"One of the basic food groups. A common type of food. There is meat in cheeseburgers, steak, and tacos.",The middle of the numberline. No value,"A engined device that is used to transport people or other things on the water. You can also ship things to people via plain, car, or train.","Weak, not capable of being handled roughly. Glass or pottery is fragile",No longer living. Your heart stops pumping and you stop recieving oxygen.,When a person asks you somthing and is wanting an answer,"A common breakfast food. Round and toped with fruit, whiped cream,and suryp.",another word for puking. You vomit when you are sick or your body is rejecting something.,"weapon, fighting, anger, agression","Falling. You can fall when the floor is wet, if you trip, or if you lose your balance.",Very gooy like substance that you use on most breakfast foods.,Something that is a pain to you that you do not want around but will not leave,Someone who is week and not able to perform to others standards in school sports or life,Is a clown.,"Testosterone, masculine, agressive, competitive, care free",To not be full. You can feel empty when you are lost or confused. The cup is empty when you drink all of the water.,Used in the kitchen. They are appliances. Used to store food or other small items,"Protect your hands from weather. You wear them when you are working with chemicals or the body. You can wear them when you are gardening, or working out.","Cutting wood, or used as a weapon. Tool for men at farms","Not large. Microscopic, not very detailed.","Vegtable, smells bad, corn beef",What you use to walk. At the inferior portion of the body,"To be calm. Not talking, not moving",To look something up. Trying to find something,Music that involves instruments rather than a DJ beat.
62725,9/23/10 16:33,9/23/10 17:05,32,"animal, striped, has fur, lives in the wild, kept in zoos, horse life, four legs, mammal, is an omnivore, has a tail, cute","where a family lives, windows, furniture, large, shelters, safe zone, protection","delicious, chocolate, homemade","pretty, young, vibrant, happy, catty, gossip, poor body image","has leaves, has bark, provides shade, necessary to live, pretty","long, used to tie things, comes in many colors, comes in many different forms",a piece of something,"performed by doctor, scary, drugs, done becuase something is wrong","green, slow, hard shell","piece of something, a growth","urgent, when something is wrong, need help quickly","to be funny, makes you or someone else laugh","dates, times, marker, necessary for being aware of where to go next","being calm, holding your tounge, pleasing others over yourself","protection, fashionable, colorful, comfortable, infinante amount","gone, forgotten","something new, something different from noraml, uncomfortable","place of worship, holy, quiet, large","boring, lifeless","many people, meeting together for a common cause, important","beautiful, relaxing, sun, the horizan","what little girls love, pretty, perfect, wears dresses","easy, clear","disgusting, lumpy, sickening, stinks","downward, leads to the coast, fried chicken, accents","me, descripes what is being done,","blood, stings, needs to be covered, hurts, can be serious","sticky, holds things together, repairs","reach a goal, be praised","busy, black, never ending, dangerous","dark, damp, scary, home for bats, in the woods, provides as a shelter for animals","steps, it assists, heavy, tall, sturdy, metal or wood,my dad uses it","to discover, to see, no longer lost","soft, used for blowing your nose, always out in the winter","gross, used for cigarettes, smells, is dirty","movies, pictures, tells a story, stores that moment in time","ugly, large, hairy","delicious, part of an animal, raw, can be cooked, girlling","a number, nothing,","large, sails in the ocean, holds many people","small, breakable, old, thin","sad, cold, mourning, shocking, devistating","not knowing the answer, can be asked about anything","fluffy, what my grandma makes, comforting, can come in different varieties","disgusting, unsttractive, happens after you have had to much to eat or drink","sharp, knife, medievel, long","slick, fall, dirty","for waffles and pancakes, sweet, warm, sticky, comforting","pester, not wanted, annoying","kid who doesn't stand up for themselves, kid who is picked on, a sad person","anything, one thing","large, older, facial hair, strong","nothing there, open space","holds food, plastic, smells, microwaveable","warmth, protection, plastic, is a barrier","strong, used to cut things, a mans tool","short, skinny, thin, breakable","lettuce, vegtable, used in salads","on the body, 10 toes, smelly, needed to walk","no noise, happens in a library, needed to sleep",have to do becuase something is lost or you can't find it,"hard, smaller piece of the earth, solid"
63376,9/23/10 17:36,9/23/10 17:48,12,stripped,foundation,gross,drama,life,tight,cut,painful,eggs,tree,problem,happy,tight,waiting,converse,found,weird,worship,boring,meeting,beautiful,girly,easy,vomit,"texas, africa, pole",radio,hurt,sticky,sucess,"gravel, paved, two way, four way,","cold, granite, bats, stalagmites, stalactites",DNA,stuff,crying,nasty,movie,tough,food,absolute,sea,weak,gone,answer,delicious,puke,fight,paper,sticky,annoy,weak,is,female,full,cook,"hands, blisters, rough",wood,tiny,brocolli,clean,peaceful,hard,hard
64441,9/23/10 18:25,9/23/10 18:48,23,is one kind of horse,is an animal,candy,young female,plant,line,connection,cut out your skin,animal,meal,happened suddenly,make fun,things you will do,person,footwear,can't find,something i don't know,place,dark,meeting,sun droped,toy,happy,to vomit,direction,copula,injury,line,prize,where you walk on,dark place,stepladder,action,gland,something,movie,big animal,from animal,number,transportation,electrical,not alive,things you asked,cakes,though out,kinfe,moving,sweet,disturb,losser,anything,opposite to female,full,plastic,put on hand to keep warm,heavy knife,opposite to large,vegetable,tools,silent,looking for,music
63928,9/23/10 18:38,9/23/10 19:02,24,"stripes, black and white, horselike, likes open area, has a tail, 4 legs, hooves, eats grass, likes water","lawn decor, big, small, home, family, 1 story, 2 stories, long,short, bathroom, bedrooms, kitchen,","different kinds, can eat, sweet, milk, sugar","adolescene, teenagers,","branches, leaves, big, small, heavy, light, green, brown,","thin, hang with a kite, long, short,","connection, material","doctor, hospital, nurses, tools, lights, put out, medicine,","green, round, hard shell, 4 legs, 2 eyes, lives in water or land, lays eggs,","tree, brown, leaves, long, short, heavy, light,","911, police, firefighters, trouble, a problem","funny, interesting, keeps attention","time, classes, work,, certain time to be somewhere","doctor, check up, appointment, nurses, hospital, doctor office,","big, small, expensive, cheap, designer, brand name, ugly,","t.v. show, wrong directions, does not know where they are at,","werid, not normal,","religion, Egyptian, big, small, building,","boring, plain, gray,","between 2 or more people, meeting, can be on computer or in person","happens in the eveing, pretty, different colors","barbies, girls, dressing up, playing with","plain, boring,","throw up, vomit, comes out of mouth","Texas, war, segregation,","time, clock, morning,","scar, hurt, bandage, blood, doctor,","clear, sticky, keeps things together,","accomplish, get something done,","long, short, tar,  gravel, yellow lines, white lines, cars drive on them,","dark, bats, big, small, underground, rocks,","long, short, construction, firefighters, metal, wood,","look for, search","kleenex, paper, nose, white, comes in a box,","cigarettes, smelly, ash in the tray, round, square, metal, glass, plastic,","movies, actors, actresses, money","ugly, mean, loud, big, scary,","cows, chickens, deer, pigs, can eat,","nothing, equal to nothing","boat, water, ships things, cruises, captains, sailors,","delicate, damaged,","gone, buried, funeral, death,","has an answer, curious, interested in something","round, gooey, flour, eggs, syrup, different kinds,","throw up, comes out of the mouth, puke,","sharp, long, Iron Age, Middle Age, used to kill,","paper,","pancakes, waffles, medicine, can be eaten, dark, light, sweet,","annoy, interrupt, in the way,","scared, delicate","a thing, something","penis, man. boy, sports, tall ,short, big, small,","gone, not full","plastic, dinnerware, cookware, lids, tupperware parties, glass, plates,","rubber, cloth, wool, protects hands, keeps hands warm, ugly, pretty, different designs, different colors, mittens","sharp, big, small, tool, cuts wood, trees,","tiny, little, not alot,","green, round, leaves, came from seeds,","10 toes, conected to the ankles, small, long, narrow, wide,","whisper,","look for,","large, small, heavy, light, different kinds, different colors, volcanic, around for years,"
62611,9/24/10 0:33,9/24/10 0:56,23,"stripes, animal, horse, big, eat grass, mammal, run","building, stone, big, grey, is in village, is home, is haunted",is messy,"are pretty, slim, long-haired","plant, green, high","is long, is made of metal, is strong",is thin,"is important, is dificult, is operated with sculp, is painful","is an animal, is green, is slow, eats grass","is long, is on the tree, is brown","is quick, is dangerous, is risky",is interesting,"is full, is boring","is sick, ia a male","right, is big, is a training shoe","key, is far away, is an island","is weird, is new, is interesting","is building, is old, is historic","is boring, is annoying","is quite, is important, is massive","is red, is onthe sky, is romantic","Is a toy, is pretty, is blonde, is in a dress","is smart, is concise","is yellow, is bad smelling","is hot, is yellow, is a direction","I, to be","is painful, is bloody","is black, is plastic, is long","is old, is massive","is bricked, is grey, is a way","is stone, is dark, wet, cold","is metal, is high, is reliable","a key, a way, a hint, makes you happy","is brown, long, a muscle tissue is red","is grey, is dusty","is interesting, short, scary, produced in studio","is an animal, is hungry, is unpredictable","is red, is roasted, is spicy","is empty, is nothing, hollow","is a vessel, is for water, is small, is boat","is easily-hurt, is something of glass, is transparent","is inevitable, is painful, is not desired","is an inquiry, is difficult, is long","are delicious, are sweet, are for breakfast","is disgusting, is yellowish-green","is metal, is sharp, is a weapon, is old","is a stumble, is painful, is wet","is chocolate, is sweet, is thick, is dark","is older, is smart, family",*don't know the meaning of the word*,"is a dog, lies, is small","is tall, is courageous, is strong","box, room, hollow sound",*don't know the meaning*,"are weared on hands, are warm, are woollen",*I don't know what ax is*,"rock, butterfly, hair","is a vegetable, is green, is small, grows in the garden","are trained, big, strong","is in a library, is boring","zoom, is fast, is scrupulous","loud, exciting, is music, produced with instruments"
64231,9/24/10 13:38,9/24/10 13:50,12,"stripes,mammal,large,two eyes,lives in the wild","Big, small,",rich,long hair,bark,thin,cut,doctors,shells,brown,immediate assistance,entertain,time,sick,laces,missing,odd,large,boring,meeting,beautiful,plastic,easy,gross,down,person,hurting,attach something,accomplish,lanes,dark,rungs,encounter,thin,stinky,thin,large,thick,round,hull,breakable,not breathing,ask,round,gross,sharp,fall,sticky,annoy,baby,something,testosterone,no more,plastic,protection,cutter,not big,green,toes,peaceful,look for,hard
63724,9/24/10 13:41,9/24/10 14:26,45,"an animal, has stripes, black and white, has a tail, has 4 legs, similar to a horse, looks like a referee, hunted by lions, lives in africa, is a mammal","3 dimensional, contains a foundation, made of wood, made of cement, has a roof, has windows, has doors, located in a neighborhood, can have different floors, serves as shelter, is living space","type of candy, sugary, different flavors","attractive, interesting, the devil, cant live with 'em cant live without 'em","living thing, has branches, has leaves, has a trunk, has roots, supports life","piece of material, used to link things together, used to tie things",all i can think of is the verb splice. such as splicing cables,"fixes problems, doctors perform it, requires expertise, many people have it, saves lives, leaves scars","green, has a shell, moves slowly, can live very long, sea or land","part of a tree, often sticky with sap, supports leaves, brown","alerted by sirens, dial 911, situation thats urgent, someone in trouble","all i can think of is the verb, to amuse.","tells you where your going, so you know where to be, can be of classes, can be for work, can be for activities, can be stressful, helps you stay organized","someone who needs help, may be sick, at a doctors","made of leather, made of canvas, made of rubber, different colors, different styles, covers your feet","guys wont admit it, when you dont know where you are,","something unordinary, different, doesn't fit in, irregular","a place of worship, and ancient building, a building at MSU","property of a frustrating pencil, often peoples minds,","type of phone call, multiple people sharing their views, used for gaining information","occurs at night, sun goes down, light goes away, different colors, beautiful","played with, associated with children, a toy,","life, easy, not complicated","has a bad smell, often comes with being sick, can come with drinking, gross to clean up, different textures, different colors, disgusting, nastiest thing in the world","opposite of north, shows direction, a cardinal direction, used for locating places","early in the morning, time you set your alarm for, helps you stay on schedule","a cut, a bruise, an injury, can be self inflicted, heals","sticky, often on a spool, can be double sided, used for hanging stuff, used for putting things together, can be clear, can be colored, can be duct, can be masking, can be scotch","all i can think of is the verb, to achieve","what you drive on, blacktop, painted with stripes, contains lanes","part of natural earth, you can hide there, bats live here,","has steps, used to get to high places, hanging christmas lights, fixing a light bulb, used in yard work, used in construction, used around the house, folds, often extends","all i can think of is the verb, to find","fixes sadness, fixes illness, makes you feel better, a kleenex,","holds ash, can be different shapes, used when smoking","movies, often brown, contains negatives,","very strong, intimidating","fiberous, red and pink, to be eaten, animal flesh","a number, not positive or negative, ovular, circular, round, has a center","floats in water, holds sailors, holds cargo,","breakable, on boxes, warning in shipping, delicate","used in boardgames, has 6 faces, has numbers 1-6, black and white, 3 dimensional, cubic","an unknown, looking for an answer, proposes a thought or idea someone is unsure of or looking for an answer to","type of food, breakfast food, made of flour, eaten with syrup, made of sugar,","puke, throw up, smells, disgusting, different colors, different textures","sharp, shiny, has a blade, has a handle, sharp point, deadly","a piece of pipe, used to bind pieces of clay together,","sticky, associated with pancakes, sugary, brown or blackish",a person who gets on your nerves,"easily shaken up, scared, backs down","the thing your always lookin for but cant find, that word you cant think of, somethin that isnt important enough to be named","dominant, in charge, wears the pants in the relationship, a gender","not full, empty space, the stadium at a royals game","holder of leftovers, can be rectangular, can be oval, 3 dimensional, often clear","covers hands, used in gardening, used in dishwashing, used in sports, 5 fingers","a tool, used to cut things, often in scary movies","something not big, not very much space, not very much volume","not very appealing, used in casseroles, used in salads, usually green, can be red","most people have two, used to walk, used to stand, have toes","peace, relaxation, alone time",an expedition to find someone or something,"studied in geology, all around us, most of the world,"
63919,9/24/10 17:35,9/24/10 17:49,14,"black, white, large, herds, grunts","bathrooms, bedrooms, closets, kitchen, colorful, large, small","popsicles, brownies, chocolate, icing","moody, PMS, make-up, dresses","green, bark, oak, ceadar, pine, redwood forest","kittens, knitting","cut, wound","painful, painkillers, scalpel","box, snapping, large, small, soft shell, thick shell, roll over","government, trees, companies","bad, scary, ambulance","amusement park, amusement, fun","on time, timely manner, plans","waiting, waiting for doctor, patient (person)","colorful, converse, puma, nike, addias","not found, lost dog, lost children, missing","weird, not normal","your body, buildings, head","boring, nothing, can't cut","people, talking","beautiful, love, sitting outside","scary, baby like features","plain, bland","vomit, gross, flu","south america, south africa, hell, south korea","Sam I Am, Am I Sam, Sam Am I, ample, amplitude","hurt, swelling, band-aid, ointment","movie tapes, cassette tapes, duct tape",goals,"rumble strips, yellow lines, white lines, cars, semis","Springfield, bats, caverns, tour guide","tall, short, small, painting house","found, need, dog","presents, tissue paper, blow nose","gross, smokers, ashes, smell, stench","movies, horror, action, comedy, romantic, western","beauty and the beast, big, thick, furry, scary, gentle giant","red, dark, white, chicken, beef","none, zip, zelch","ship wreck, sailors, navy","glass, breakable, careful","death, scared, suicide","answer, too many, why?, what?, where?, when?, who?","small, thick, yummy, breakfast, aroma","gross, sick","sharp, movies, knights","fall, slippery, wet","thick, sticky, butter syrup","annoy, siblings, friends","whinny, lazy, nerdy","clow, can't describe it any other way","masculine, muscles, testosterone","none, gone, not full","plastic, container, lid, clear","doctors, nurses, hair stylists","logging, loggers, lots of time, wood stove","tiny, mini, miniture","purple, green, rabbits, gardens","gross, nasty, fungus, large, small, average, wide","no noise, reading, library","found, lost and found, missing children","music, hard, granite,"
64969,9/25/10 9:11,9/25/10 9:25,14,Black and White,Roof and Doors,Chocolate,Eyes,Leaves,Fray,Correction,Doctor,Slow,Tree,Run,Smerk,School,Waiting,Gum,Found,Awkward,Ancient,Faded,Gathering,Sunrise,Cotton,Complex,Vomit,North,Early morning,Blood,Duct,Victory,Gravel,Spelunking,Climb,Found,Nose,Cigarette,Movie,Wolf,Cow,Nothing,Buoyancy,Broken,Death,Answer,Flour,Smells,Excailbur,Fall,Maple,Older,Nerd,Other,Hair,Nothing,Leftover,Protection,Lumber,Tiny,Green,Flat,Silence,Found,Hard
