"spelling.errors","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"identy","identity","identify",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tarradiddle","astraddle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"storey","store","story","stores","stored","stormy","store y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"taradiddle","astraddle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hackable","hack able","hack-able","hackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"accountbank","account bank","account-bank","accountant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nuemericals","numerical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recieve","receive","relieve","reverie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moneyrelated","money related","money-related","interrelated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"surgens","surges","surgeons","surge's","insurgent","surgeon","insurgence","resurgent",NA,NA,NA,NA,NA,NA,NA,NA
"bullsigh","bull sigh","bull-sigh","bullfight",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"percise","precise","exerciser","exercise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"errorless","error less","error-less","odorless","lessors","lessor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"blaim","claim","bl aim","bl-aim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"prision","prison","misprision","precision","prevision","prion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bismirch","besmirch","bi smirch","bi-smirch","smirch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"somoeone","someone","lonesome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"averb","aver","verb","adverb","avers","avert","a verb","aver b","bereave",NA,NA,NA,NA,NA,NA,NA
"agressive","aggressive","digressive","progressive","repressive","recessive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"plantiff","plaintiff","plan tiff","plan-tiff","planting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"firstrate","first rate","first-rate","filtrate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"excell","excel","excels","ex cell","ex-cell","excel l","cell",NA,NA,NA,NA,NA,NA,NA,NA,NA
"sucess","success",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hardwork","handwork","hard work","hard-work","hardworking","hardwood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"succeced","succeed","success","seduced","seduce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"estatic","static","ecstatic","e static","statistic","latices","atavistic",NA,NA,NA,NA,NA,NA,NA,NA,NA
"waht","what","wast","wait","want","wart","watt","baht","waft",NA,NA,NA,NA,NA,NA,NA
"suceed","succeed","sucked","seduced","seduce","educed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"succesful","successful","success",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"succeded","succeed","succeeded","succored","seduced","deduced","seduce",NA,NA,NA,NA,NA,NA,NA,NA,NA
"decribe","describe","cribbed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finishline","finish line","finish-line","fishiness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"acknowledgements","acknowledgments","acknowledgment","acknowledged",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ph","f","hp","oh","pH","pg","p","h","phi","pah","mph","kph","eh","sh","pi","pa"
"reflux","reflex","re flux","re-flux","ref lux","ref-lux","efflux",NA,NA,NA,NA,NA,NA,NA,NA,NA
"theatres","theaters","sheathes","thereat","treatises","threats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ons","nos","ins","obs","oms","on","ones","eons","sons","ions","tons","cons","dons","onus","hons","owns"
"ecoed","coed","echoed","e coed","decoyed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ampitheater","amphitheater","theatergoer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gitar","guitar","sitar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ressonance","resonance","assonance","dissonance","consonance","renaissance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"insturments","instruments","instrument","interments","insurgents",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"du","dew","doe","Du","d","u","due","dun","duo","dud","dug","duh","dub","nu","do","dc"
"soleil","sole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aweinspiring","awe inspiring","awe-inspiring","transpiring","inspiring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"highwire","high wire","high-wire","highwaymen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"morrowind","morrow ind","morrow-ind","windrow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"deathdefying","death defying","death-defying","delineating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"modelling","modeling","model ling","model-ling","impelling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"decieve","deceive","decisive","decide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"behaviour","behavior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exhe","ex he","ex-he","hex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"timepass","time pass","time-pass","pastimes","pastime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"personation","impersonation","personification","perspiration","impersonator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ipc","pic","inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"reguires","requires","esquires","squires","esquire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"awork","work","a work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inplimentation","implementation","experimentation","supplementation","sentimentalization",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"actionis","actions","action's","action is","action-is","action","vacationist","activation",NA,NA,NA,NA,NA,NA,NA,NA
"swiftprompt","swift prompt","swift-prompt","impromptu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"actionthe","action the","action-the","interaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fulfil","fulfill","willful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"yogurat","yogurt","figuration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"boomb","boom","boob","bomb","booms","boom b","bamboo","combo",NA,NA,NA,NA,NA,NA,NA,NA
"nuclure","nuclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"occuring","occurring","concurring","incurring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sportsathletic","sports athletic","sports-athletic","sportspeople",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"somthing","something","soothing","nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alot","a lot","alto","slot","alt","lot","allot","aloft","aloe","clot","plot","blot",NA,NA,NA,NA
"produtive","productive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"protestor","protester","protector","protest or","protest-or","protestant","presto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"excercise","exercise","exorcise","excise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ramance","romance","cameraman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daniel","denial","Daniel","spaniel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"animla","animal","manila","animism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"perfomes","perfumes","performer","performs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"charectors","characters","charterers","erectors","torchbearers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fictious","factious","fictions","fictitious","factitious","officious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anomals","animals","anomaly","anomalous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"histrion","histrionic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"imposter","imposer","importer","impostor","impost er","impost-er","imposture","impost","posterior","postmaster",NA,NA,NA,NA,NA,NA
"shammer","hammer","shimmer","stammer","slammer","scammer","shammed","spammer","s hammer","shame",NA,NA,NA,NA,NA,NA
"theatre","theater","thereat","heather","threat","wreathe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"actora","actors","actor","actor a","actuator","orator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"criuser","cruiser","causerie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"partrole","part role","part-role","parole","patrolled","patrol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"favourite","favorite","favoritism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"roleplaying","role playing","role-playing","overplaying",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"actoris","actors","actor's","actor is","actor-is","actor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"andor","candor","adorn","ardor","and or","and-or","doorman",NA,NA,NA,NA,NA,NA,NA,NA,NA
"aniston","astonish","antagonist","agonist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eva","ave","Eva","ea","Neva","Reva","eve","era","eta","ova","Iva","Ava","evade",NA,NA,NA
"longoria","longhair",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"teri","tire","Teri","uteri","tier","tern","terr","term","Keri","triter","rioter","writer","trite",NA,NA,NA
"hatcher","hatchet","thatcher","hatchery","Thatcher","hatches","hitcher","catcher","hatched","watcher","hatch er","hatch-er","snatcher","ratchet","chatterer","chatter"
"ren","ten","rem","re","en","rein","rent","rend","wren","Wren","res","sen","ran","rel","rec","red"
"zellweger","bellwether",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"paris","pairs","Paris","pars","parish","pares","saris","paras","parts","parks","Maris","par's","par is","par-is","pariahs",NA
"kidman","kid man","kid-man","mankind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"meryl","beryl","Beryl","merry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"streep","strip","strep","steep","street",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lohan","loan","Cohan","aloha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"halle","hall","hale","halls","halve","hall e","allele","lethal",NA,NA,NA,NA,NA,NA,NA,NA
"voiceovers","voice overs","voice-overs","voiceless",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jolie","jollily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"beyonce","bey once","bey-once","beyond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"baskeyball","basketball","baseball",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"beatiful","beautiful","beatific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"asume","amuse","assume","subsume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cammand","command",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frear","drear","fear","rear","freer","friar","freak","f rear","fr ear","fr-ear","area",NA,NA,NA,NA,NA
"theatreical","theatrical","theoretical","heretical","healthcare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"praductions","productions","transduction","production","reductions","abductions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inteligent","intelligent","intelligence","intelligible","intelligibly","negligent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"comercials","commercials","commercial","infomercials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gorgeuos","gorgeous","gorges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"infront","in front","in-front","front","intro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"actractive","attractive","extractive","interactive","overactive","retroactive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"samll","small",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"traingle","triangle","training","strangle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"degress","egress","degrees","digress","regress","depress","Negress","d egress","DeGeneres",NA,NA,NA,NA,NA,NA,NA
"mathmatical","mathematical","asthmatically","thematically","grammatical","asthmatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"attentiongetting","attention getting","attention-getting","internationalizing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"capitalismcommercialism","capitalism commercialism","capitalism-commercialism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"serviceproduct","service product","service-product","reproductive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"productservice","product service","product-service","productiveness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"craigslist","racialist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"togeather","together","theatergoer","heather","theater","thereat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"increace","increase","increasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppisite","opposite","apposite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"postive","postie","positive","sportive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mutiply","multiply","multiple",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"externalities","externalizes","externalizations","externalization","externalize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mathematic","mathematics","ma thematic","ma-thematic","mathematical","mathematician","thematic","schematic",NA,NA,NA,NA,NA,NA,NA,NA
"equasion","equation","suasion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"opperation","operation","perpetration","peroration","perforation","desperation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"increasejoin","increase join","increase-join","increasing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alcoholdependent","alcohol dependent","alcohol-dependent","nonindependent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"trackmarks","track marks","track-marks","trademarks","tamaracks","racetracks","backtracks",NA,NA,NA,NA,NA,NA,NA,NA,NA
"substancestimulus","substance stimulus","substance-stimulus","substantiation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dependant","dependent","defendant","depend ant","depend-ant","pendant","descendant","attendant","pendent",NA,NA,NA,NA,NA,NA,NA
"sth","st","sh","ssh","nth","sch","std","shh","sty","st h",NA,NA,NA,NA,NA,NA
"drugsalcohol","drugs alcohol","drugs-alcohol","alcoholism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mathmatic","asthmatic","mathematics","mathematical","thematic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kindergarden","kindergarten","kinder garden","kinder-garden","kindergartner","gardening",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"subtracton","subtraction","subtract on","subtract-on","subcontractor","subtract","subcontract",NA,NA,NA,NA,NA,NA,NA,NA,NA
"algerbra","algebra","bragger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"disscusions","discussions","discussion","dissensions","dissension","concussions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"th","ht","Th","t","h","the","nth","tho","thy","eh","ts","sh","ti","ta","ah","tn"
"grammer","grimmer","grammar","crammer","programmer","aerogram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dont","font","dint","don","dot","don't","done","dent","dons","dost","dona","dolt","cont","dong","wont","Mont"
"ect","etc","ext","ct","sect","est","eat","act","ecu","pct","Oct","e ct",NA,NA,NA,NA
"similiar","similar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"productsideas","products ideas","products-ideas","productiveness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"niave","naive","nave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"highschool","high school","high-school","schoolchild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rocko","rock","rocks","rocky","rock o",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inbetween","in between","in-between","between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"teenageers","teenagers","teenager","teenage","tanagers","steerage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abd","bad","and","abs","ab","ad","abed","dab","aid","add","ab d",NA,NA,NA,NA,NA
"bedore","before","bedsore","bed ore","bed-ore","redo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rebelion","rebellion","rebel ion","rebel-ion","religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"puberity","puberty","puerility","purity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"knowitall","knowing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hormonedriven","hormone driven","hormone-driven","informativeness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"prevelant","prevalent","prevent","relevant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"purberty","puberty","perturbed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"postpuberty","post puberty","post-puberty","posterity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stereotypically","stereo typically","stereo-typically","stereotypical","esoterically","realistically",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"invincibleknow","invincible know","invincible-know","invincibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"teenewsnage","newsagent","teenage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gendersraces","genders races","genders-races","engenders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rebelous","rebellious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preadult","adulterer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"developement","development","envelopment","elopement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lifechanging","life changing","life-changing","cliffhanging","changeling","channelizing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"schooler","schooner","schooled","school er","school-er","preschooler","school","choler","cholesterol",NA,NA,NA,NA,NA,NA,NA
"teenaged","teenage","teenager","teen aged","teen-aged","teenage d","tenanted","nagged",NA,NA,NA,NA,NA,NA,NA,NA
"greating","grating","greeting","greasing","treating","creating","gr eating","gr-eating","repeating","regretting","ingratiating","ingratiate",NA,NA,NA,NA
"carying","varying","carting","caring","crying","carrying","carding","carping","carving","caddying",NA,NA,NA,NA,NA,NA
"kittys","kitty","kitty's","kitty s","kittens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"loveable","lovable","love able","love-able",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"energylife","energy life","energy-life","energizer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tresure","treasure","resurrect","tress","suture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"travelling","traveling","travel ling","travel-ling","travailing","graveling","raveling","traversing",NA,NA,NA,NA,NA,NA,NA,NA
"experince","experience","experiencing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"didnt","dint","didn't","didst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"trippin","tripping","trip pin","trip-pin","ripping","pinstripe","pippin",NA,NA,NA,NA,NA,NA,NA,NA,NA
"preceved","preceded","precedence","precede",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exhilerating","exhilarating","exhilaration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advernture","adventure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"figi","fig","figs","fig i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spontanious","spontaneous","spontaneity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fantacy","fantasy","fancy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scifi","specific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"friendsfamily","friends family","friends-family","friendly's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"excitment","excitement","excrement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspensful","suspenseful","suspense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"extravert","extrovert","extra vert","extra-vert","extravagant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"baggins","baggies","bagging","bag gins","bag-gins","bagginess",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"xmen","men","amen","omen","Amen","x men",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"backyardigans","backwardness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ly","l","y","lye","sly","lay","ply","fly","ls","la","lo","ll","lg","my","lb","by"
"wordgroup","word group","word-group","newsgroup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"oppugner","impugner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"flyer","flier","fayer","fryer","foyer","fl yer","fl-yer","fly er","fly-er","flyover",NA,NA,NA,NA,NA,NA
"vebal","venal","veal","verbal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advertizing","advertising","animadverting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"advicecounsel","advice counsel","advice-counsel","counselor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ede","ed","cede","edge","Bede","eds","ere","ode","eye","eve","eke","ewe","ed e",NA,NA,NA
