id_code,start_time,end_time,duration,level,garlic,accuse,bike,bite,bleach,blow,cans,cough,country,crack,dance,dinner,earth,floor,fly,fog,fold,freedom,fruit,good,hammer,hate,hear,hotel,immature,itch,journey,later,law,learn,leaves,liar,look,make,mold,motion,movement,necklace,octopus,old,party,patience,personality,plane,poker,pot,present,rare,referee,refrigerator,rent,shake,slide,spread,state,station,tell,thing,virgin,volcano,write
62872,11/17/10 12:49,11/17/10 13:06,17,used to make progress,found in kitchens,requires motive,has wheels,causes pain,has no color,requires wind,made of tin,has sound,has open space,can be heard,requires rythm,has food,contains magma,has foundation,requires lift,lacks visibility,has creases,has meaning,has vitamins,lacks bad,found in hardware stores,lacks love,requires vibration,has rooms,has no maturity,has sensation,requires travel,needs time,has order,has new concepts,has more than one,has no truth,requires sight,has creation,has bacteria,requires movement,has motion,has connection,has multiple limbs,has wrinkles,has people,is a virtue,has emotion,has wings,has cards,made of metal,has past,not often found,has a stripped shirt,contains a lack of heat,requires money,has scales for skin,lacks friction,lacks containment,contains land,has tracks,has revealing,has substance,contains purity,has lava,has structure
66472,11/17/10 21:56,11/17/10 22:35,39,"place, up or down, take stairs or elevator to get there, the higher it is the harder it is to get to","smells,, food, vegetable, keeps away vampires, herb, goes good on italian food",blame,"two wheels, chains, something to ride","painful, use of teeth","cleans clothes, white, takes out stains","pushing air out of mouth, air shifting","aluminum, holds liquids and solids",uncontrollable push of air out through lungs,"plain, boring, home for crops and farm animals",a break in something,moving to music,eating in the afternoon,"where we live, hold people and water and land","ground, something to stand on","soaring through the air, use of wings","hard to see through, low cloud",making a crease in something,being able to do what you want,"sweet, connected to some sort or plant, edible",something pleasant,"hits things, metal head, wood handle, puts nails in place",dislike a lot,noise coming through ear drum,"place to stay, costs money,",doing something that you someone younger would do,sudden discomfort,traveling long distances,happens after something,a rule that must be abided by,aquiring of new knowledge,"change color, attatched to a tree",doesn't tell the truth,"facial expression, turn of a head",creating something,"mildew, living organism",movement,shifting body,"wear around neck, different styles","eight tenticles, lives in ocean",aged,celebrating,waiting for something,"traits, people have them","flies, has wings, transportation","gambling, winning, losing, cards, dealer","vase, holds dirt","gift, suprise, something you want",doesn't happen often,"calls penalties, regulates game","cold, keeps food, keeps liquid, heavy","pay for living, loan","quick movement of something, moving rapidly uncontrollably","slippery, fun, goes down,",less in one spot,place we live,"place, many different kinds","speak, tattling",an obect,hasn't had sex,"holds lava, erupts, moutain",penciling down words
66487,11/18/10 11:09,11/18/10 11:15,6,proportion,smell,law,fall,hot dog,washer,wind,metal,sick,america,drugs,culture,smell,water,wood,plane,night,paper,flag,orange,bad,nail,love,listen,room,young,bumps,travel,after,prosecute,book,tree,mean,like,model,old,ocean,car,fashion,water,new,drinking,virtue,nice,fly,table,tea,christmas,animal,game,food,home,milk,water,butter,missouri,train,sell,object,sex,lava,pencil
66496,11/18/10 12:45,11/18/10 13:06,21,Has square edges,is found in the natural world,blame,"two wheeled, transportation, human powered, chain driven, variable speed, workout","chomp, eat, chew","abrasive chemical, removes color, bad for your skin, cleaner, toxic",expelling air from the mouth,"soda, beer, drinks","sickness, irritation of the throat, annoyance","music, the middle of nowhere, the boonies","break, fissure, opening","movement, fine art, visually appealing, fun","last meal of the day, best meal of the day, night time, family","supports life, where we live, the embodiment of everything","surface, surface for walking, supports us indoors",soaring through the air,"low visibility, clouds on the ground, causes accidents","crease, transformation","libterty, ability to do whatever you want, a good feeling","food, nourishment, sweet, grown naturally",positivity,"tool, home improvement","negativity, lack of interest, distrust, dislike","sound waves, comprehension, hearing","housing, travel, home away from home, temporary roof over your head",not intelligent,scratch,"Rock band, a trip or pathway","not now, in the future","definition of good and bad, keeps society sane and out of harms way","comprehend, gain knowledge","fall, attached to trees, on the ground, green, red, gold, amber","untruthful, a negtive person","vision, seeing","construct, building","uncleanliness, moisture, gross looking",movement,"dance, motion, entertainment","jewlery, worn around the neck, pendant, diamonds, silver, gold","eight legs, tentacles, sea creatures, sea exploration, marine biology, glass bottomed boat, ink, finding nemo","not new, aged, been around for a long time","fun, a way to let go, possibly alcohol or drugs, music, dancing, fun",waiting,"traits that make you the way you are, the most important part of finding a mate","surface, axis","face, card game, chips, cards, casino, casino royale","container for plants, slang term for a drug","presentation, giving something, a gift, as message","uncommon, hard to find","adjudicator, overseer, official","keeps cold food cold, food storage","bills,","chocolate, milk, thick drinks","smooth, kept outdoors, angled, elevated beginning",division,"missouri, fifty, provinces","stop, trains, scavenger hunts","speaking, giving information","anything, object, person, place, thing","innocent, untouched","eruption, dangerous","writing, telling stories"
66448,11/18/10 14:16,11/18/10 14:54,38,Flat Balance Long some are lasers is a tool used in construction,Strong smelling cloves white bad taste seasoning used for cooking,"thinking someone is guilty, opinions","ride, has two wheels, useful, exercise","eat food, animals, hurts","cleans, can stain, used on whites, strong smelling","air through mouth, cool, exhale","aluminum, contains food, recyclable","annoying, painful, medicine","Parts of continent, USA, governments, leaders","split, starts to break, small, metal","fun, women, many forms,","food, end of day, big meal, family","round, rotates, supports life, milky-way galaxy","walk on, hard, carpet, wood, supports, bottom of house","planes, birds, glide, soar","morning, blurs vision, hazardous while driving","bend, bend in half, saves space","happy, wanted, USA, nice to have","healthy, good tasting, apples","enjoyable, happy","hard, heavy, tool, used in construction, hits nails","dislike, opposite of love, bad, angry","ears, gain knowledge, listening, details","rooms, suits, room service, quiet, pools","young, inappropriate, anybody can be this","annoying, scratch, bug bites","travel, vacation, other countries","postponed, opposite of sooner,","protects, many, enforced, cops","classes, listening, gain knowledge, useful in life","changes colors, trees, fall, beautiful","wrong, not being truthful, not good friends","watch, see, stare,","create, accomplish, achieve, goals","forms objects, makes impression, found on foods","quick, moving, cars","active, exercise, travel","around neck, expensive, gold, silver","tentacles, water, edible","antique, ancient, age","birthday, celebrations, friends, family,","wait, calm, compromise","traits, who a person is, loyal, respectful, funny","flies, transportation, travel, used on vacations","gambling, cards, royal flush, addicting","cooking, metal, boil,","current time, gift, used many ways","hard to find, unusual, unique,","sports, football, black and white, penalties","cool, stores food, found in most households, utility, appliance","houses, cars, expensive, establishes credit","move quickly, ice cream, toss","fun, slick, for children, long, curvy","move around, separate","fifty in USA, Missouri, has towns within them,","trains, planes, transportation","talking, quietly, conversations",any object,"loyal, sexually inactive","erupts, harmful, hot, lava, ash","essays, topics, hard, long, letters, books"
66493,11/19/10 8:51,11/19/10 9:20,29,"something higher, new, different.","strong smell, white, consists of little parts, breaks down easily, bad breath, tasty in food","evidence, trial, court room, action","active, hike, nature, equilibrium","mosquito, dog, marks, painful, scratches","clothes, stains, washer, helper","wind, cold, candles, birthday cake, action","diet coke, active social, recycle","flu, symptom, germy","Romania, not a country girl","egg, joke, broken, needs fixing","party, friends, action, burns calories, fun","delicious, expensive, take out, frozen meals, pasta","astronomy, layers, home, green and blue, continents","cold, white, ground","kill, flies, hard to reach, sound, annoying, plane, high","hard to see, misty, can't drive, not pleasant","clothes, dryer, laundry, towels, clean room","college, away, whatever, whenever, by yourself, break","healthy, love it, grapes","misleading, impression, bad is the new good","nails, picture frames, hanging stuff up, hurts, heavy","strong, misused","noise, sound, pay attention, sense","Austin TX, losing a plane, big rooms, song, tall building, swimming pool, expensive","highschool drama, little girls, young, needs time","mosquito bite, red, uncomfortable, scratching","to the center of the earth, movie, destination, excitement","distant, further away, boy, not a fan","pre-law, school, break the law, fines","school, university, life, school of life, action","fall, colorful, red, yellow, mushy, ground, wetness","boys, frustrasting, annoying, don't  like it, not necessary","good looks, action","craft, art, creative, imagination","gross, smells bad, green","muscles, movement, doing something, physics","can't sleep, everywhere","name, around neck, occasion, long","sea, vicious, fatal, big, taste good, purple","grandparents, fear, death, community service, nursing home, love","fun, friends, drinks, someone's house, dance a lot, songs, pictures","required, great characteristic to have","warm, people, strong willed, key characteristic","Romania, flying, high, white, big, expensive, has little windows, claustrophobic","poker face, song, game, money gained, money lost, Las Vegas","boiling, food, pasta, water","right now, make it or break it",unique,"soccer, game, not loved, Halloween, whistle, black and white, stripes","food, cold beer, minifridge, magnets","way too high, hard to pay, my roommate, coming up on me","handshake, chocolate shake, calories, friendly, good tasting, money","mudslide, winter, snow, hurts, sisters","butter, all over the place, spill, garlic spread","Missouri, state of mind, visit","train, bus, bearline, wait, stop, car","gossip, talk for nothing, he said she said","overused, vague, replacement","boy, movie, someone young","eruption, lava, hot, massive, island, Italy","novel, english class, action, journal"
66385,11/19/10 11:16,11/19/10 11:41,25,"uses a bubble to measure, stick, tool","white, strong odor, used in cooking","point fingers, suspect, court room, criminal act","has wheels, transportation, handle bars, seat, pedles","chomp down, child, painful, used to eat","liquid, strong odor, toxic, white, used with laundry","breathe, air, push, pressure, lips","found in the kitchen, hold food, perserves, metal, round top","sick, cold, throat, cover mouth, loud","50 in the US, United States, president of each, many around the world","in the sidewalk, jagged, split, broken","energy, movement, music, romantic, moves","meal at night, family gathering, food","rotates, where we live, in orbit, spherical","hard, cold, wood, cement, ground, rug, what you walk on","bug, big eyes, wings, flys, die,flyswatter","thick, hard to see through, dangerous, low cloud","crease, paper, clothes","privlage, flag, right of United States, allowed to do as one wishes","fresh, apple, grows, gets bad fast, like a vegetable","wanted, not bad, brings happiness","hard, tool, wood, metal, haldle, pounds things, used with nails","dislike, dont want, mean, brings bad feelings","listen, communication, don't talk, noise, sounds","place to sleep, serves breakfast, lots of rooms, maids","not grown up, little kid, teenager, unpolite","irritating, scratch, unwanted, bug bite","adventure, go somewhere, discover new things","not now, afterwords, put off, procrastinate","rules, lawyer, do not break, enforced","teach, school, teacher, knowledge","on trees, yellow, green, brown, fall, different shapes","not truthful, dislike, sneaky","see something, sight, take notice, characteristics","put things together, project","growth, old, nasty, green, unhealthy","movement, creates energy, transportation","motion, back and forth, transportation, creates energy","jewelry, worn around neck, silver or gold, thin, light","8 legs, large head, lives in ocean","not new, wrikley, smelly, unwanted, slow","loud, lots of people, fun, food, music, entertainment","waiting, calm, take turns, stand in line","traits, everyone has one, inner person, how one acts","flys through the air, large, holds lots of people, transportation","card game, money, chips, played around a table, gamble","holds food, used for cooking, found in the kitchen, goes on the stove","gift, Christmas, given to someone, brings joy","not common, special, search for","enforce rules of sports, wears black and white, whistles","keeps things cold, freezer on top, food inside, door, white","borrow, temporary, pay money, not yours, need","a drink, ice cream, liquid, colorful, treat","playground, go down, ladder up, child activity","on bread, whipe, put something on another thing","collection of cities, different laws, mayor","gas, train, to meet, come together, collect materials","talk, inform someone, share, communicate","many different objects, materials, colors,",pure,"errupts, mountain, crater at top, lava","words, class, paper, pencil, pen, information, used to remember"
66511,11/21/10 18:18,11/21/10 19:01,43,"The word ""level"" can be used in video games. It can also be used by architects when building homes. Also used to interpret one's reading capacity or academic placement. Level can mean a flat surface.","Garlic can be used for medicine and food. It can often make one's breath smell after consuming it. Garlic is used in the myth of vampires, garlic is said to repel them. It is used as a medicine to prevent heart disease. It has a distinct smell.","assume, blame","two wheels (sometimes four for toddlers), two handlebars, can often have a radio or horn on them, used for transportation","what one does with their teeth when they eat, what a fish does to a fishing pole,","laundry, different  color, can be used on hair, can kill if consumed.","breathing out of one's mouth to extinguish candles or bubbles, is a slang word for cocaine, what the wind does","what soda is often placed in, a round container for beverages, has tabs on the top","often associated with colds, a noise one makes when they are sick, people should cover up their mouth when they cough, cough drops can help with sickness","a genre of music, open area, often includes farm and cattle, can be a place on the map (America is a country)","can be used to describe a drug (crack cocaine), can be a split between the floor, cracking one's knuckles,","a movement of the body, used as a form of entertainment or expressing onself, a hobby, a motion performed to music, what one does at a club","a meal eaten at night, normally eaten by the whole family together, one of the three important meals of the day","third planet from the sun, only planet with water, the planet everyone lives on, natural characteristics of the planet","what people walk on, can be tile, wood, or carpet, spills often take place on it","birds fly, one can ""fly"" by plane to travel, in the air, defying gravity, a slang word for cool","cloudy, hard to see, moist, can be related with scary movies","changing the way a piece of paper or clothing looks ""folding it""","doing whatever you wish, not controlled, the most valued trait of america","healthy, apples, pears, oranges, delicious, sweet,","honorary, respected, tasteful","a tool, used to drill in nails, can be harmful","strong dislike, negative feeling, anger, opposite of love","what ears are for, to recognize sounds","temporary home, costs money, where one stays while traveling, involves maids and receptionists","not yet grown up, childish, annoying, sometimes dramatic, ignorant","to scratch, an irritation of the skin, often caused by posion ivy or dry skin","to travel, set out on a quest, name of a store,","not now, at a different time, now and later candy,","rules, what people must obey in states, a set guideline","to gain more knowledge, mature, can be benificial if one ""learns"" new things","plantlike things that are often on the ground in autumn, change colors, hang off branches of trees","dishonesty, negative trait in most people,","to see with one's eyes, to admire something","to create, to work things out (make up, make a mends),","occurs on old food, disgusting, green and yellow, can cause illnesses, or sculpting something (tracing) or ""molding""","movement, used to describe how high a horse's legs go when they trot, can be a hand gesture","not standing still, exercising, traveling to a different place,","worn around someone's neck, can be diamond, gold, or metal, jewelry, beneficial for appearance, often used as a christmas or birthday gift from a husband to wife","eight legs, lives in the ocean, can be eaten by people,","not young, aging, been around for a long time, a late trend","gathering of people, often involves alcohol, loud music, balloons, a celebration for birthdays or anniversaries, the act of drinking or going out can be referred to as ""partying""","not in a hurry, polite, waiting your turn for something, a valued trait",the traits that make people unique,"flies in the air, made of metal, can seat many people, travels long distances, often mistaken for stars","a game mostly played by guys, can cause people to lose their money, cigars are usually involved when playing, or there are fire pokers, which move logs around in fires to keep the flame burning","slang term for marijuana, a metal object used for cooking, a slang term for toilet","a gift from someone, the current time, alternative word for ""here"" often used for attendance","not common, close to being extinct","someone who calls the plays in sports, often wear black and white striped shirts, blow whistles, people often get angry with them","keeps food items cold, located in most people's kitchens, an appliance","to borrow, lend a house for a short time, name of a movie","milkshake, moving someone to wake up (""shaking"" them), what one often does when they are cold or nervous","can be used for pools, often at playgrounds, landslides, to slip,","a word often used to smear butter on toast, viruses can spread or travel, one can perform a spread eagle with their legs","mental well-being, or a section of a country","a place where one waits for a train or bus, police ""station"" where cops are located, a set place for something","to explain, to predict (tell the future), ""show and tell"" is used for little kids","an object, what two people share with each other that is similar to a relationship","one who has never had sex, purity, innocence , or used to describe a non-alcoholic drink","an eruption of lava, can be deadly, very hot","what one does with their pencil, one will normally ""write"" to tell a story or send a letter to someone"
65236,11/21/10 21:02,11/21/10 21:26,24,"used in construction, has liquid, has a ball, can be used to put up decor evenly","used in cooking, gets rid of vampires, is a bulb, tastes strongly, gives you bad breath","point a finger at, yell, angry","wheels, bell, helmet","teeth, scar","white, strong smelling, teeth","mouth, cold air","aluminum, holds liquid, can be crushed, can be recycled","sneeze, sore throat, choke","cowboy boots, tractor, open fields, hills, trucks","cocaine, white","studio, shoes, music","meat, potatoes, family, table","green and blue, soil, pure","carpet, walk on, lay on, mop","wings, wind, sky, free","scary, moist, lights","laundry, sheets, clean","flag, soldier, thankful","sweet, colorful, juicy, delicious","innocent, favorable, praised","construction, used with a nail, makes loud noises, used in the house","yell, scream, angry","ear, loud, music","luxurious, vacation, expensive","child, boys","scratch, red, rash","long trek, seeing new places, having adventures","time, night, procrastinate","court, lawyer, trouble","class, study, teacher, brain","fall, crunchy, colorful","cheater, bad, steal","eyes, stare, sneak","hands, create, clay","green, cheese, old, gross","air, wave","motion, dancing, running","pretty, sparkles, women and men wear them,","eight, slimy, ocean","dusty, creaky, rusty","music, dancing, laughing, drinking","virtue, mother","funny, cute, friendly","wings, metal, transportation","cards, vegas, casino","pan, black, cooking","gift, bow, excited","precious, intriguing","stripes, whistle, flag","keeps food cold, in the kitchen, big appliance, uses electricity","check, apartment, life","chocolate, cold, frosty, burger","children, laughing, swings","peanut butter, knife, bread","country, 50, region","train, gas, bus","secret, tattletale, whisper","weird, strange, unknown","pure, innocent, clean","erupt, lava, hawaii","pen, paper, creativity"
66133,11/21/10 21:11,11/21/10 21:37,26,"level is a floor, there cna be different levels","garlic is a spice, put it on food, increases flavor","blaim, guilty","ride, transportation, wheels","teeth, food","change colors, laundry","bubbles, mouth","cans are aluminiun, can drink soda out of them","you do not want this, cough means a cold, happens when you are sick","hicktown, music","break, hole","music, fun, competition","food, good, family","globe, land","tile, ground","plane, birds, run fast","couldnt see, dense air","napkin, cut in half","freedom is being seperate, able to do what u want, America is free","healthy, apples, grapes","well, succeed","nail, mad of steel, heavy","dont like, argue with, dont talk to","ears, noise","trip, out of town","out of control, acting young","scratch, annoying","trip, exploration, excitement","at another time, not now","doctorite, good at arguing","Think, smart, textbook",to go,"not telling the truth, saying something untrue","eyes, direction","do something, food","green, slimy, gross","to move, signal","sway, rock, back and forth","Diamond, expensive",octupus is an animal,ancient,"fun, music, drinks","being patient, being quiet, relaxing","head, how you act","fly, sky","Poker is a game, usually bet, played with chips","round, aluminum","gift, christmas","doesnt happen often, not usual","official, rules, penalties","cold, milk, food","house, pay","salt, stir, mix","water, something you go down","sickness, spread std's","land territory, missouri","radio, railroad, union","tell on people, tell someone a story",anything is a thing,never done something,"erruption, fire","notes, pen, pencil"
65263,11/22/10 13:44,11/22/10 14:13,29,"one, two, three, overcoming an obstacle,","smelly, italian, vampires, healthy, bread sticks, spaghetti, some chinese food","murder, rape, lie","rides, Katy Trail, snacks, fun","hard, blood, teeth, vampires, dog, sharks, tongue","laundry, gross smell, disinfectant","up! Kaboom! kisses, away, blow my mind","homless people, vegetables without nutrients","sick, flu, snot, germs, spit, ilness","third world, America, Europe","pop your back, break, fault","enjoyment, fun, short dresses, high heels, sweat, hot, heat","vegan, burritos, time for over eating","mother nature, plants, vegans, hippies","hard wood, carpet, sleep-overs","airplanes, birds, get away","errie, mysterious, bright lights, fear, car wrecks, feeling aggrivated","sheets, towels","of speech, utter euphoria, choices, life, america","healthy, banans, oranges, apples, pineapple, hyvee produce, vitamin c, citrus, grapefruit, bright colors","morals, God, pure, white, true, real","nail, build, to defeat, MC Hammer, pound, hit thumb, ouch, heavy, iron","hair in the drain, pet peeves","aid, comical","haunted, soap, dirty sheets, cities, country,","middle schoolers, boys","chicken pox, chigger bites,","80's band, self discovery","late, never going to happen, blow off","government, lies, requirements","words, lettes, shapes, math, theroies","fall, autumn, trees, orange, red","untrue, hypocrite, white lie, sinful","appereance, conceit, superfisial,","belive, create, sculpt, imagine","clay, create, morphe","movement, excercise, running, swimming, sweat, endorphins, freedom of body","motion, excercise, calories burning","jewlery, expensive, greed, diamond","eight legs, purple, deep ocean, buried treasure, pirates, sail boats, dolphins","people, bad drivers, wrinkles, canes, wheel chairs","fun, lots of people, alcohol, people acting like idiots, anxiety, peer pressure, drugs, birthdays","tedious, annoyance","one of a kind, unique, funny, charasmatic, pesamistic, type a, type b","ride, ticket, travel, journey, exotic places","bluff, lots of cards","head, marijuna,","Christmas, state between the past and future","jewlery, stone, rock, mineral, one of a kind","fat men, white and black, bad calls,","cold, smelly, bright, white","appartment, -out","n bake, n steak, milk shakes, maraccas, sluty rap videos","excercise, to the right, slide to the left, two hops this time, cha cha slide","peanut butter, sweet house or apartment","of mind, territory, emotional being","train, army","all, tabloids, gossip, truth","stuff, thing one and thing two,","pure, good, morals, sweet, youth, girl, Mother Mary, Christ,","lava, danger","love to write, freedom of the pen, passionate, loving, excitment, longing for, poetry"
65752,11/22/10 15:51,11/22/10 16:16,25,"game, requirement, goal, section, achievement","food, pizza, vampire, seasoning, cook","murder, crime, suspect, investigation, test, witness, testify","ride, children, fun, form of transportation, wheels, pedals, handles","dog, snake, can be harmful, hospital, damage, skin can break, blood","hair, color, white, clothes, washer, dryer, clean","whistle, gum, air, balloon, enlarge, move, force, wind","aluminum, bottles, beverage, soda, contain, plastic, open","symptom, lungs, air, medicine, sickness, mucus, congestion","established, president, large, land","type of drug, window, repair, fix, bones, skull, damage","movement, way to exercise, fun, performance, theater, audience, entertainment","food, family, lunch, breakfast, meat, eat, late","round, green, blue, large, home, planet, galaxy, water, land","carpet, wood, carpenter, furnish, buffer, vacuum, clean, mess","pest, insect, travel, transportation, plane, movement, wings, flap","london, thick, moisture, eerie, hard to see, weather","crease, napkin, close up, tablecloth, sheets","liberty, rights, happiness, open, happiness, adventure","sweet, taste, colorful, good for your health, dessert","best, happy, reward, great, positive, smile, laugh, adjective","type of shark, pound, nails, wall, fix, repair, home, building, picture","despise, disgust, feelings, betrayal, emotion, deep, pain","ear, sense, smell, touch, feel, interpret, sound, music","place to stay, comfortable, beds, rooms, service","selfish, childish, behavior, hasn't fully developed, prepubescent, growth","scratch, irritate, skin, infection, rash, nails, instinct","epic, hardship, endurance, strife, goal, determination, motivation, destination","not now, sometime in the future, eventually","obey, enforced, judge, jury, court, rules, prohibit, abide","develop, teachers, students, interaction, environment, mind, intelligence","trees, fall, autumn, changing colors, cycle, food for insects","deceptive, hides the truth, unreliable, lack of trust","appearance, observe, study, eyes, sense, watch","create, bake, construct, skills, change","damage to health, old, moist, green, fungus, smell, fuzz","movement, muscle, momentum, physics, education, force","muscle, momentum, physics, force, body, transportation","beautiful, woman, gaudy, silver, gold, present, gift, affection","animal, ocean, living, eight arms, suction cups, large","used, tattered, worn, progression of age, elderly, grandparents","fun, wild, friends, family, gathering, music, dance, drink, relax, enjoy, smile, laugh","reserve, time, quiet, wait, reward, eventually, virtue","type, behavior, social, positive, negative, defines who we are","transportation, fly, wings, passengers, suitcases, people, destination","game, bet, fire, gambling, cards, smoke, drink, money","type of drug, cook, container, hot, stove, oven, food, storage, metal","past, future, time, gift, kindness, holiday, affection","endangered, animal, near extinction, precious, valuable, gold","sport, game, conduct, score, whistle, blow, numbers, uniform","appliance, home, keeps food cold, beverage, ice, temperature","borrow, temporary, movie, room, only for a moment","rattle, rapid movement, shiver, muscle, nervouse, scared, fear","fun, children, playground, recreation, movement, gravity, pull, slippery","butter, jelly, jam, bread, movement, smooth, knife. across","the united states, president, situation, circumstance, position","train, pitstop, people, travel, tickets, point, destination","speak, communicate, mouth, answer, explain, words","unidentified object, unknown, unimportant, useless, doesn't matter","sexuality, sex, male, female, abstinence","erupt, dangerous, hot, lava, science experiment, children, school, red","scribble, creativity, express, pen, pencil, paper, skill, school, learn"
64120,11/22/10 19:15,11/22/10 20:37,82,"is a tool, made of metal or wood, contains liquid, sold at hardware stores, used to make things flat or perpendicular, handheld, often has measuring increments","grows in the ground, breaks into cloves, tastes very spicy, used to cook with, is white, requires moisture to grow","to blame someone, assumes someone is guilty without evidence, often made when a law has been broken.","has two wheels, a handlebar, a seat, pedals, a chain, uses a system of gears, usually has brakes, different variation for mountains or roads, are sold in stores, convenient means of transportation, used for competitive sport.","used as self defense, mechanism for consuming food, involves bringing teeth together, inflicts pain.","used to clean floors, cleans stains, removes color from clothes, can be used to make hair blonde, is poisonous to eat.","pushes air out of mouth, cools down food, is rude in china, involves movement of air.","made of tin, hold food goods, can be reused as a container for nails, are recyclable, come in varying sizes.","a symptom of being sick, they can be heard, mucus is coughed up. alleviated by cough drops.","has a government, ours is made of states, usually has an army, inhabited by people, contains different sights, has its own culture, usually has speaks one language, has a flag. has a history.","the gap between, can break objects, represents old age, a lack of wholeness.","a motion of the body, corresponds with music, can be synchronized with other people, is commonly done at parties.","eaten late in the day, usually evening time, is preceded by breakfast and lunch, usually is the biggest meal of the day, eaten at a table, before sleep.","Large, round, populated, composed of water and land, cold at north and south, warm near equator, has an atmosphere, hosts living organisms, has a liquid core, part of a solar system.","is stood on, can be made of dirt, wood, or tile. cleaned with a mop.","a type of insect, has six legs, two wings, is very common, throws up every time it lands, small, black, likes to swarm.","hard to see through, opaque, made of moisture, cooled down, close the ground, a type of cloud, looks smokey.","a crease in something, comprised of an angle, used in origami, used to keep laundry organized.","having rights that allow you to do as you please, given by a country, upheld by the law, differ state to state.","contains seeds, grows on trees, can be consumed, are often sold at grocery stores, are used to cook with, are sweet tasting.","not bad or evil, does the right thing, is honest, trusting, helps more than hurts, has positive intentions.","a tool, used to place nails in wood, also used to pull nails out of wood, has a wooden handle with a metal head, staple of any tool kit.","strong dislike, very passionate, opposite of love, feels uncomfortable, makes people mad.","uses your ears, interpretation of sound waves into language, utilizes brain.","a big building, more than one story, people sleep there, people pay to be there. sometimes have pools. used while traveling away from home.","Lacking seriousness, characteristic of young people, acting inappropriately, not yet fully developed","is unsettling, must be satisfied by scratching, is on the surface of the skin, caused by irritants like poison ivy.","moving from one place to another, not easily completed, involves hardship, has some ultimate goal.","is at another time, a future time. past the time previously discussed, may be at night, or when it has become dark outside.","made by congress, defines what we can and can't do, is interpreted by the supreme court, upheld by the executive branch. can be interpreted in different ways.","acquiring knowledge, acquires knowledge, often at schools, but everywhere growing up, results from mistakes.","grow on trees and other plants, usually green, contain chlorophyll, dry out and die in the fall, turn brown/red/yellow, fall to the ground, are raked up, sometimes burned, feed insects and herbivores.","does not tell the truth, usually received negatively, exaggerates statements, makes themselves look better than they are, does not follow through with promises.","indicates how someone feels, made from facial expressions, is universally understood around the world, is projected towards other people as communication.","describes the brand of something, a type of car, where the object was created.","a type of fungus, grows in moist areas, can be toxic if inhaled, common in showers, grows on old food, usually looks ""fuzzy""","is made through movement, fast or slow, directional,  more motion generates heat","An act of motion, directional, can be achieved using vehicles, can be achieved on foot, getting somewhere new.","worn around the neck, usually is jewelry, is valuable, has a string or links, two connecters. worn by people.","Has eight tentacles with suction cups, lives in the ocean, eats mollusks, squirts ink, varies in color, is eaten in certain parts of the world.","no longer young, has been around for a long time, worn out, tired, broken, loses novelty.","where people go to socialize, often involves drinking, celebrates special occasions, sometimes presents are exchanged.","has the ability to wait a long time, not hurried, not easily upset, very flexible, outgoing around people.","describes a persons mannerisms, can be kind, patient, etc. the way someone generally acts.","a vehicle of transportation, flies through the air, fastest way to get somewhere, has two wings, has an engine, is manned by at least one pilot.","made of metal, used to control fires, pointy tip, also a game played with cards, extremely competitive, five card variation, seven card variation,  with different rules","used to cook food, sits on stove, heats up fluids, has a copper bottom, has an accompanying lid.","something you give to someone else, usually wrapped in paper, has a bow, given away on christmas and other special occasions. has a to/from tag.","hard to find, is obscure, is old or no longer made, is valuable, is unique","judges sporting events, observes games and upholds the rules, wears black and white stripes, has a whistle, makes money.","is tall, usually has accompanying freezer, stores food and drink, is magnetic, keeps things cold, runs on electricity, generates ice.","given to a landlord, usually in the form of money, is exchange for living somewhere, gives you access to a location.","made of ice cream, tastes sweet, has a cherry on top, is mixed with milk, comes in a variety of flavors, part of americana","is made of metal or plastic, has a smooth angular surface, found on playgrounds, has a ladder side. is sat on and ridden downward.","measures distance apart, easy to run over bread, plans or blueprints, sometimes flavorful.","in the U.S. they are districts of the country, contain their own governments, have a state motto, a state bird, a state rock, etc. Are broken up into smaller districts and towns, an area of land.","facilitates transportation, trains stop and go, people buy tickets there, has a building, and railroad tracks, delivers you to another station.","giving away information, done using voice, can be written, can be typed. is received by someone through hearing if spoken.",vague term that describes a noun. depends on context. usually and object of some kind.,"Lacking in something, non-alcoholic, someone who has not had sexual intercourse, young people.","is a type of mountain, releases lava, smokes, can explode, sometimes causes earthquakes, often found around pacific rim.","created with pen or pencil, on paper, can make a letter, can be part of artwork or advertising, made up of alphabetical letters."
